;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
0;Tres nkn schampoing;0.0;0.0;0.00017428837363589749;0.0;0.0;0.0;0.0;0.0;3.171170772458417e-05;0.0;5.70626753458294e-05;5.1877332348783644e-05;0.0;0.00016767527825061688;0.0;0.00010909885571676526;6.481083458302924e-05;0.0002533234336932551;8.103350389533421e-05;2.968020551477298e-05;0.0;2.315423616250312e-05
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00034551142306045457;0.00010019336485800036;0.00017806986113449172;0.0008278913920388328;0.0;0.00019044934796016866;0.0007412034456087454;0.0004179662564976644;0.0011748106143184603;0.0;0.0008703471803637283;0.0;0.0;0.00045014202039074004;6.243793052107419e-05;0.001517397155094059;0.0;0.0007357179078946558;0.0;0.0;0.0;0.0013700772635319408
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.000371293386103086;0.0;0.0004951153638920178;0.0032796543535200968;0.0007107841762722121;0.001695134366213209;0.0010761787742906352;0.0;0.007788242301572716;0.06646241507730484;0.011546517589975996;0.00787641753934476;0.004873092954378464;0.004574576129939368;0.06617740658769186;0.017448002973489286;0.00311955130541878;0.011692861836582824;0.005281036585484172;0.006329108990335643;0.0008320235599106493;0.002376588498398947
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0007944516678771921;0.00013847128864579925;0.04876384300553297;0.0;0.0;0.0007155353022662767;0.0026171286560645627;0.05490275138044359;0.003661860385263459;0.0028647547791189943;0.00154728298865942;0.0014378368377518326;0.001177368738357544;0.020174007903052033;0.0;0.0;0.005284391516924928;0.0020456091995654808;0.001739754510696991;0.003718251982185336;0.00028727375976480337;0.08109304193789946
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05294666893541884;0.0;0.055481341735539036;0.0;0.0;0.0;0.0;0.0;0.06761409930660778;0.0023138243448698405;0.0;0.013483969717540208;0.05169034702351324;0.0;0.0;0.0;0.0;0.0;0.00692043622860256
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0003830605322087158;1.7786970105399595e-05;0.0017498640576797536;0.0009807020134233976;5.5762321244203845e-05;0.0015531828151610538;0.0026117410644643305;0.0;0.0007139096608713358;0.0012943372683704795;0.0;0.0;0.0018979037670159738;0.00493342859073932;0.0;0.007081156023938057;0.003394850071700634;0.008152360542865911;0.0025600798665221776;0.009963165429746238;0.0019971625594186024;0.00033098946496694153
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00031805354906901654;8.872637790173062e-05;0.0;0.007561423883444254;0.0;0.00012119348147870469;0.0011906077228183872;0.0001351451045957709;0.0027506654862645124;0.003512468073951649;0.014670623468540528;0.0;0.0016639786052548933;0.0;0.0024817914393221487;0.0;0.0037251057599032057;0.044450128004745196;0.0;0.0020674314177301233;0.0;0.008256444881981507
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.00015840564332333725;0.0;0.11308018714906354;0.0029313074232315433;0.0;0.0007676046813686055;0.00191693812511052;0.0;0.0017355756722241082;0.00284144549290459;0.0;0.0016729873663173394;0.0;0.016764648538061592;0.01996869512603417;0.0;0.0063049212317899915;0.0;0.0;0.0;0.21212100562270325;0.0034331917858925545
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004811993182995862;0.00027511842519012354;0.0;0.0011641780843074435;0.0;0.00042359232371358467;0.0;0.0;0.0;0.0;0.001092048461562396;0.0;0.0;0.00957672686357517;0.0;0.0;0.0;0.0;0.0;0.17660265281003742
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.0001880673709216414;0.0;6.870989937462115e-05;0.007519175057414804;0.0;0.00018696937976021047;3.5447127386784214e-05;0.0;0.00019719564609718278;0.0003439272282043025;0.004047770247441348;0.00023752005390339123;0.0005872996343205905;0.013795060850741551;0.0;0.004813152524828848;0.0;0.0016249747439438277;0.0;0.0;0.0012363368480241353;0.003942376870263552
