;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005832924583058314;0.00167105780755183;0.0;0.00017820340630097815;0.0;0.0;0.0001012864293127161;0.00029153887752065395;0.0;0.002568603219327336;0.0;0.0;0.0;0.0;0.0
32;abîmé;0.002127685166086865;0.0;0.0010429277072958412;0.0;0.0;0.0;0.0008944143460047356;0.0;0.0;0.0;0.0;0.0012502201208118974;0.0;0.0023969695876571717;0.0;0.0017066609539435876;0.04522318404368383;0.02138157245895251;0.0;0.0013968628890795888;0.0009176382816400965;0.02316913890394811
33;acaht;0.0;0.0;0.0;0.0005525339205715035;0.0;0.005624732759731813;4.495648358027062e-05;0.0;1.680780718725797e-05;0.0;0.0;0.0;6.510304071378148e-05;0.0;0.00011017789341992596;0.0005998130903423551;1.4475480290441473e-05;4.4525146092271e-05;0.0;0.0;0.0;1.5769592043620896e-05
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008507046387380026;0.0;0.0;0.0;0.0;0.0;0.0;0.00043407256456405986;0.0;0.0;0.0;0.0;0.0;0.0
35;acceptable;0.0;0.005572641029723379;0.0;0.0;0.0;0.0;0.00855241974575546;0.0;0.0;0.0;0.0;0.00011972828054129608;0.0;0.0;0.0;4.095103235752258e-05;0.0;0.0;0.0;0.0;0.0;8.743506250419989e-05
36;accessible;0.0;0.017796669473826687;1.2127711280080528e-05;0.0;0.0;0.0;0.011433626646803061;0.000988732888541364;0.00819126230560237;0.0;0.0;0.006190394922446412;0.0;0.0;0.0;0.0005891868111841457;0.0;0.0;0.0017286612832903634;0.0011590045407419952;0.0037082301308121604;0.0034705592703821696
37;accessoire;0.0;0.00019993136155905267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003995626107494713;0.0;0.0017885935971449383;0.0;0.0;0.0;0.0;0.004383344085834512;0.0
38;accompagne;0.0;0.0;0.0;0.0003768301786824479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006948912288525061;0.0;0.0;0.0;0.0;0.0;0.0
39;accompagner;0.0005075145991674926;0.0;0.0004284380601507223;0.0;0.005609643673018749;0.01082338465648571;0.0;0.009289437100312227;0.007347273530899656;0.0;0.0;0.009720557432980679;0.0;0.004261311665231083;0.0;0.0;0.0;0.0;0.0;0.0037855056378676144;0.0;0.0
40;accord;0.0;0.0;0.0013577548541927515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005096196825854472;0.0;0.0007067158054839896;0.0;0.0;0.008863804372487558;0.0;0.012658210181992405;0.0;0.0;0.0;0.0
41;accorde;0.0;1.8910009551417145e-06;0.0;0.0;0.0;0.0;0.0;1.4826816250397075e-05;0.0;0.0;6.540227997785875e-05;0.0;0.0;5.825836619025637e-05;3.0016963830480483e-05;8.776371954995595e-05;7.608030053404459e-06;0.0;0.0;2.3402489107952907e-05;2.068011700832126e-05;0.0
42;accorder;0.0;0.0;0.0;3.7022936236775774e-05;0.00024427863420395845;4.027411030168798e-05;0.0;0.0;0.00015692277386013048;0.0;0.0001496475562702565;0.0;0.0;0.0;0.0007602959415253137;0.00017033543496153887;0.0;6.076242720996904e-05;0.00010307038741123203;0.0;0.0;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007917043584115154;0.0;0.0;0.0;6.602682342008312e-05;0.000298208027529184;0.0005441109515075937;0.0;0.0001866787958747829;7.533773633614962e-06;6.869714267108481e-05;0.0014990337603886898;2.283596801448331e-05
44;accoucher;0.0;0.0006482683818379893;0.0;2.925078144298855e-05;0.0;0.0;0.0;0.0;0.0;0.0;2.453351264153753e-05;0.0;0.0;1.1955703309329837e-05;0.0;0.0010900402015770457;5.3468497680049e-06;0.0;1.3103949547280643e-05;0.00027337662789334564;0.00012126513248795835;0.0
45;accro;0.0;0.0;0.0;0.002222133981680193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003803752614000702;0.0013982291465235055;0.0;6.613567822173447e-05;0.0;0.0;0.0
46;accroche;0.0;0.0;0.0;0.003667339695905128;0.0;0.0;0.0;0.0;0.0;0.0001806618981929737;0.002096125810408432;0.0;0.0;0.0;0.0020349567588507584;0.0049112151122021625;0.0;0.0004032494252259005;0.0;0.00044325027976364087;0.001988653304976591;0.0
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022553675682358582;0.002585370664986625;0.0009549723318707931;8.949498027209174e-05;0.0;0.0003569591984587515;0.0;0.0;0.0
48;accueil;0.0;0.00036242356812043975;0.0;0.0;0.0;2.7029608704487807e-05;0.0;0.0;0.0;0.0;0.0003996808068994585;0.0;0.0;0.0;0.0;0.0;0.0;0.00013656035858075123;0.00023017862952449844;0.0003428518923861331;0.00037241733727601365;5.884543407160165e-05
49;accès;0.0;0.0;0.0;0.0;0.0;0.005923582420886194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004695123672313093;0.0;0.0;0.0011344307003578354;0.0;0.0;0.0;0.0
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011088344309042888;0.0;0.0;0.0;0.0;0.0;0.00011013042831803568;0.0;0.0;0.0;0.0006972625753898583;0.0019831246606776673;0.0
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013363943835530504;0.0;0.0;0.0;0.0;0.00012830561634984342;0.0;0.0;0.0;0.0;0.0;0.0
52;achat;0.0;0.0445918495764745;0.0;0.005184381814752906;0.06570247788139463;0.1847303542050411;0.013645351488258368;0.009400738864551087;0.0;0.005381854992725056;0.008321692046182537;0.021647758234900016;0.0;0.0;0.0;0.017393055208965787;0.004380490477778559;0.0;0.24847909540727323;0.010578923116018886;0.020379305032128897;0.006577220013252461
53;achats;0.0;0.0;0.0015428339169030404;0.0027455134713756787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023601962855991288;0.0;0.0;0.0;0.0
54;ache;0.0;0.00011241458953682693;0.0;0.0;0.0;0.0;0.0;0.0;0.0002685335188244783;1.8777828112122068e-05;0.0003163222501416015;3.579899002154618e-05;0.0;0.0;3.429927777936231e-05;0.0;0.0;0.00016228199688281356;0.0002648324991537022;0.0006409768406825301;6.50185876419233e-05;1.8150669469941642e-05
55;acheminement;0.001070952515273465;0.003478145546194378;0.0;0.0;0.0;0.0;0.002228214427422944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011627519146637244;0.0;0.0;2.486223029683379e-05;0.0
56;achetais;0.0006403346200840971;0.0064763602501298045;0.0;0.0;0.0;0.0;0.0;0.0;0.0010902853877557041;0.0;0.0008260403714702815;0.0;0.0;0.0;0.0;0.005415528476717844;0.0;0.0;0.0024891007010470756;0.01471486264471548;0.007608065378524882;0.0003880967686278085
57;achete;0.0;0.0;0.0;0.0;0.018897801733248377;0.0;0.0;0.0;0.0016876509625757918;0.0;0.0026687079645253743;0.0;0.0;0.0;0.0;0.0026723619339453714;0.0;0.0;0.0;0.012507269419575626;0.0;0.0
58;acheter;0.0048505513377968485;0.03933117263876604;0.0;0.0;0.0063354153928083705;0.018389037624873796;0.0;0.023456802887779137;0.06066526912221363;0.018889652852912858;0.0;0.006191711174179038;0.010437985984433793;0.0;0.02673885404566626;0.054479049316484424;0.008136554745250837;0.09633371638202062;0.12139258651038572;0.09985661750789343;0.05769427239965555;0.02710348166297437
59;acheteur;0.0;0.0024170222556901947;0.0;0.0;0.0;0.0;0.0;0.0;0.0004470108920871306;0.0;0.0;0.007267547992931664;0.0;7.635437359515409e-05;0.0;0.0;0.0;0.0009898327111437664;4.574549557898736e-05;0.0011806448688929843;0.0;0.0001478730769424733
60;achetez;0.0;2.173041607171463e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011448314737318764;0.0;0.002788678661551059;0.0005595351305580433;0.00014976001094004743;4.989031455872286e-05;0.0002365989129234878;0.0;0.0
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011553833500342782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007066429911868516;0.002575978831629893;9.742765822222152e-05;0.0;0.0;0.0009839515561566;0.0;0.0003250763116563927;0.0;2.882598257189919e-06;0.0054199461234222465;0.0
63;achète;0.003232283318035252;0.0070732002223315976;0.0;0.0;0.0;0.012652827132618975;0.0;0.0;0.015558189355749541;0.0;0.0010002532171390747;0.0;0.0;0.0;0.0;0.030300892704923105;0.0;0.007537095672121144;0.06362116691117103;0.03771243187432576;0.006624353635115954;0.0
64;achèterai;0.0;0.004469799461803399;0.00111054195060341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024744901272153326;0.0;0.00022208019309430586;0.0019410112616119464;0.0013363309760297851;0.0;0.0006013741530706417;0.0;0.0;0.002592282828391711;0.0
65;achété;0.0;0.007649433564168822;0.0;0.0;0.003233270087851395;0.007071525024917519;0.0;0.0;0.00012601664788140394;0.0;0.0008341796229304702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001881852722190072;0.0;0.0;5.162637652650342e-05
66;acidité;0.0;0.0;0.0;0.002849160980424992;0.0;0.0;0.0;0.0;0.0;0.0;0.00031567754501284995;0.0;0.0;0.0;0.0008680796843463425;0.0016321513568136102;0.0;0.0;0.0;0.0;0.0;0.0
67;acné;0.0;0.0;0.0;0.014092698206739808;0.0;0.0;0.0;0.0;0.0;0.00902740890619871;0.0;0.0;0.0;0.0001840148905750168;0.0;0.0040646069026488586;0.0;0.0;0.0;0.011815069109024403;0.0022918705637679916;0.0
68;acnéique;0.0;0.0008657962088780302;0.0;0.0035010253527422517;0.0;0.0;0.0;0.0;0.0016515741026979142;0.0;0.0;0.0;0.0;0.0;0.00012169467213223166;0.006184476229705948;0.0;0.0;0.0;0.0;0.0;0.0
69;acnés;0.0;0.0;0.0;1.807621802834221e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.000302738656864113;0.0;0.0;0.0;0.00010083917033334842;0.001815544177035609;0.0;0.0;1.0657981449423732e-05;0.0;0.0;0.0
70;acquiert;0.0;0.0028060022113036392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005576980854963202;2.3499129044239104e-05;0.0;2.3155414872405965e-05;0.0;0.0;0.0009439782550014181;0.0
71;acquis;0.0008956046479334788;0.005744145276088768;0.0;5.560095372284232e-05;0.0;0.0;0.0;0.0;4.4454433128407806e-05;0.0;0.0006816228341444833;0.0;0.0;0.0;0.0;0.0;0.0;0.00025802463830890766;0.0;0.0;0.0;0.0
72;acquérir;0.0;0.00017015766143254889;0.0;0.0;7.956741009406364e-06;0.00010580339042143699;0.0;0.0;0.0;1.815811271649087e-05;8.172513578637298e-05;0.00015420406953972707;0.0;0.0;0.0;0.0;0.0;0.0007682200335764484;0.00026498585556582497;0.0004123139133989023;0.0001546777114960737;0.0
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010571311881391848;0.0;0.0;0.002222406918770823;0.0;0.0;1.9931521267521907e-05;0.0;0.0;0.0;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021623103271531836;0.0;0.0
75;actuellement;0.0;0.0030257796960951543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01632674591599373;0.00140427957413893;0.00010083099001700857;0.0;0.0;0.00012680567559425604;0.0;0.0;1.607826633783588e-05
76;adapte;0.0;0.0;0.0;0.013765234829481693;0.0;0.0;0.0;0.0;0.007585073525514918;0.0;0.007944053481660872;0.003170933886868177;0.0;0.0;0.0;0.023302951621207206;0.0;0.0014302495770523022;0.0;0.005692573783991456;0.0017135029810202386;0.0
77;adaptent;0.0;0.00015701278532788336;0.0;0.0;0.0;0.0;0.0;0.009375364122057736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002796224654740068;0.0;0.0;0.0;0.0;0.0022675818030683304;0.0
78;adapter;0.0;0.00404777688736038;0.0;0.024851722109739845;0.0;0.005357742304123164;0.007777066731226275;0.0;0.000394665451690183;0.014856266570113174;0.013486788451631433;0.0;0.0022648562948566087;0.01554979768078514;0.0017022956710533049;0.021399155637077675;0.0035633842708107347;0.01818860820377532;0.0;0.0;0.0;0.015853109975999192
79;adapté;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00021080676398874305;0.0;0.0;0.009675723330359164;0.010828318749415113;0.005088256495452233;0.0;0.0029853514353713967;0.0;0.0;0.0;0.0
80;adepte;0.005887861169361811;0.0;0.0;0.0020281122109534347;0.0;0.0;0.0;0.0;0.0;0.004626767557046401;0.003379745058993855;0.0;0.002668298993271032;0.008080459249515002;0.0;0.031395377928678615;0.0010321978466349612;0.0;0.0009670182203278487;0.0022154022199584503;0.0;0.0
81;adeptes;0.0;0.0;0.0;0.004075241977610399;0.0;0.0;0.0;0.0;0.001981047314107454;0.0;0.0;0.0;0.0;1.7487652338793894e-05;0.0;0.002051155123441798;0.0;0.0;0.0;0.0;0.0009287123659786402;0.0
82;adhère;0.0;0.003037762244758737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004258836577704175;0.001039331437798999;0.0;3.305199174745149e-05;0.0;0.0009694154742451948;0.0039551918309561895;0.0001999286903345273
83;adhérer;0.0;0.0;0.0;3.3264752157050224e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0001724429413674712;0.0002145561940900585;4.819639658281313e-05;1.5568329987342658e-05;0.0011166946699116965;0.00022742058593586795;5.117658765789611e-06;0.0;0.0007847528575060627;0.0005242644072685178;0.00011337781580232132;0.0003129114854793215
84;adhésion;0.0;0.0;0.0;0.002528999532385524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004591216494830858;0.0;0.0;0.006636770007316292;0.0002868902668224136;0.0;0.0037643830208500748
85;adict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00219473743159255;8.880480225964294e-05;1.8596667679959145e-05;2.0837784978168766e-06;0.000151924646732824;0.00034389921893330366;0.0
86;adieu;0.0017598770371251575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6896085338737704e-05;0.0001847485370820364;0.0009550197102879648;5.4013072200770833e-05;9.584688191090981e-05;6.541862231667831e-05;0.0;0.0004194179571752108;7.996072806192362e-06;0.0012384057347659238;0.0;0.0007380262993013307;6.704374943687095e-05;0.0
87;adixion;0.0;0.0;0.0;0.0;0.0;4.00002092293429e-05;0.00011433619917454126;0.0;0.0002559624779011309;0.0;0.0;4.651370844910394e-05;0.00011950534668959203;0.0005910770734412104;0.0;0.00035099771252200556;0.00029412753444844095;0.0011641860347734352;0.00028601305180500733;4.9716302171080885e-05;0.00025060354385269623;0.0009057313042927117
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0314152023102107e-05;0.0;0.0;0.00016889745127541219;0.001334361651187198;0.00014180730366526994;3.7585869920884084e-06;8.951790288859096e-05;0.0;0.0;0.0
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.627562056778986e-06;0.0;0.0;0.0;0.0;3.6866733211020885e-06;2.9853534653012846e-07;0.0;3.140821186199709e-07;0.0;3.0393361690164884e-06;0.0
90;adobe;0.0;0.0;0.00032072992214780236;0.0;0.0;0.0;0.0;0.000735359043833544;0.0;0.0;0.0;0.0;0.0013634464881275158;0.0016608205361716975;0.0;0.0;0.0;0.0;0.0;0.0013600401606346042;0.0;0.0
91;adolescence;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017680853614915164;0.0;8.114236947016534e-05;0.0;0.0;0.0;0.0012451753738774818;0.0;0.0007643480908746249;0.0004479045700922682;0.00011054829672958868;0.0;0.0007669202062851293;0.0;0.00043820687872416533
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.982206920234497e-208
93;adooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016544492207834462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038849328820596634;0.0
94;adooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.982206920234497e-208
95;adooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0645400185929176e-06;0.0;0.0;5.71585570828718e-07;0.0;7.101983176450956e-07;4.902036084102298e-07;0.0;5.053210181803944e-07;0.0
96;adoore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007222042084037554;0.0;0.0;0.0;0.0;0.0;0.0019729520554220142;0.0003567337401645834;0.0;0.00010905756910482991;0.0;0.0;0.0007915542918864157
97;adopte;0.0;0.0;0.0;0.0;0.0;0.016530450926712893;0.0;0.0;0.0;0.0;0.0;0.0;3.1287201092050793e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;adopter;0.0025216508867677502;0.0;0.0;0.00737345320218751;0.0;0.0;0.0;0.0018785128028840678;0.0;0.0;0.00022282573441386458;0.0;0.0;0.0012679641756615258;0.0;0.002695317949167736;0.007641250943523822;0.0035326301679538593;0.0;0.0;0.0;0.0
99;adopté;0.0;0.007620767242692849;0.0;0.011120298921955932;0.0;0.0;0.0032024682340644635;0.0;0.0008785965437328863;0.0025312198682098924;0.0;0.0;0.0;0.0;0.0014375998864144834;0.01521707004364622;0.0;0.0007759768770218405;0.0006653859452508913;0.0;0.0;0.00912836652526277
100;adoreeeeeee;0.0;0.0;0.0;0.0;0.0;0.0;1.8550789195760744e-06;1.1508203607922777e-05;3.623306434086417e-05;6.087028583116881e-05;0.0;0.00012461664711786664;1.6424198211093044e-05;0.00010115266167383562;0.0;6.582565966132346e-05;0.0;0.0;6.709435959682883e-05;0.0;3.7815210863622634e-05;0.0
101;adorent;0.0;0.0;0.0;0.009688907794212163;0.0;0.0;0.0;0.013556803482607151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004167108967249621;0.0;0.0;0.006421277176037168;0.0011055994151927455
102;adorrrrrrrreeee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.982206920234497e-208
103;adoré;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01597559009921072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;ados;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005451234778415093;0.0;0.0;0.0;0.0;0.0;0.0
105;adouci;0.0;0.0;0.008715077986197046;0.013905154497804577;0.0;0.0;0.0;0.0;0.0;0.0;0.003640227481514102;0.0;0.0;0.0;0.0;0.0;0.02434063211491605;0.0;0.0;0.0022221413108294676;0.0;0.0
