,avg_mark,brand,price,product_id,product_name,product_type,retailer_id,,,
29,4.1,LOrealParis,17,B07CPLY35V,L'Oréal Men Expert BarberClub Trousse 3 Produits,"Beauté et Parfum, Soins pour la Peau, Coffrets cadeaux",amazon_fr,,,
30,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
31,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
32,4.1,LOrealParis,17,B07CPLY35V,L'Oréal Men Expert BarberClub Trousse 3 Produits,"Beauté et Parfum, Soins pour la Peau, Coffrets cadeaux",amazon_fr,,,
33,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
34,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
35,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
36,4.1,LOrealParis,17,B07CPLY35V,L'Oréal Men Expert BarberClub Trousse 3 Produits,"Beauté et Parfum, Soins pour la Peau, Coffrets cadeaux",amazon_fr,,,
37,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
38,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
