;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
44;accoucher;0.0;0.0006050749785774042;0.0;0.00010967277441666814;0.0;0.0;0.0;0.0;0.0;0.0;6.886415523200997e-05;0.0;0.0;0.0;4.4988919573814594e-05;0.0006596391296059636;0.0;0.0;0.0001541582940771904;0.00029668275861359056;0.00012047602831569358;0.0;6.575099392407421e-05;0.00047522067474278605
45;accro;0.0;0.0;0.0;0.0024389996560953728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001544650310681502;0.0013984594762915731;0.0;0.0;0.0;0.0;0.0;9.46534374409784e-05;0.002817872084222968
46;accroche;0.0;0.0;0.0;0.003970755189816366;0.0;0.0;0.0;0.0;0.0;0.00017349929386239842;0.001984925265346595;0.0;0.0;0.0;0.002512473763875731;0.0;0.0;0.0004369540089798044;0.0012999211525250064;0.00035668382331485125;0.0021435375196924415;0.0;0.0;0.00403517588078039
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002648982082533056;0.0045215905131483075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8805315021610932e-05
48;accueil;0.0;0.0001801541110911462;0.0;0.0;0.0;9.611673667473578e-06;0.0;0.0;0.0;0.0;0.0003708797920756952;0.0;0.0;0.0;0.0;0.0012460113703945599;0.0;0.0;0.0;0.0001562516628892464;0.00021984131566023992;0.0;2.642276045468125e-05;0.0
49;accès;0.0;0.0;0.0;0.0;0.0;0.005963973680972325;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005128243287627357;0.0;0.0;0.0010165609771897919;0.0;0.0;0.0;0.0;0.0;0.0
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011071195804794294;0.0;0.0;0.0;0.0;0.0;0.000561640358512023;0.0;0.0;0.0;0.0006925301642688958;0.002061347148696155;0.0;0.0;0.0
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014040588454410004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00079962214236484;0.0;0.0;0.0;0.0;0.0
52;achat;0.0;0.045074128436461997;0.0;0.002973153723558725;0.06803326065203176;0.1864093931868713;0.013972787402911309;0.009514045999829898;0.0;0.0059439698927871215;0.00917392676772805;0.024005867809944792;0.0;0.0;0.0;0.03108498723835971;0.00612418564622504;0.0;0.0;0.011367495223322394;0.02076565916745765;0.008752222444158863;0.25459049398103845;0.015788047402326068
53;achats;0.0;0.0;0.0015269169157194438;0.002742248664274377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007620804481282973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;ache;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001628187334600288;2.469688675846846e-06;0.0002872358435816368;2.6238103096101075e-05;0.0;0.0;3.601426953730452e-07;0.0014946611357783259;0.0;0.0;0.0;0.00044044902861236046;0.0;0.0;0.00013515353423618884;0.0
55;acheminement;0.00107603448562974;0.0035868925335836056;0.0;0.0;0.0;0.0;0.0022316977218032447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011239404489628586;0.0;0.0;5.643587181316245e-05;0.0;0.0;0.0
56;achetais;0.00044533812447016083;0.003639722378875131;0.0;0.0;0.0;0.0;0.0;0.0;0.00011950662899871759;0.0;0.0002653863681838573;0.0;0.0;0.0;0.0;0.024168751102202124;0.0;0.0;0.0;0.012574575401942734;0.00609752231731253;0.0;0.0;0.004600356162833605
57;achete;0.0;0.0;0.0;0.0;0.019405286042306458;0.0;0.0;0.0;0.0020520083619570213;0.0;0.00290737149909097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014396682092122201;0.0005890518592079413;0.0;0.0;0.003413440361115023
58;acheter;0.0019257858339646607;0.0;0.0;0.0;0.001896744744828285;0.009004524434179807;0.0;0.01700270833530847;0.019910119566894292;0.009616032506097754;0.0;0.0;0.0;0.0;0.010084758992180727;0.618484288503843;0.0;0.02426715640012105;0.029771784971497968;0.017503091582881127;0.0;0.0;0.036732385217920105;0.0
59;acheteur;0.0;0.0022777279799228397;0.0;0.0;0.0;0.0;0.0;0.0;0.0003439512550102375;0.0;0.0;0.007253524191057117;0.0;0.0;0.0;0.0015132317263987017;0.0;0.0006707607554051554;0.0;0.0011487919925127197;0.0;0.00010590158850971458;0.0;0.0
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009082040325615104;0.0;0.001626701776933827;0.00028250797236024824;0.0;0.00212412584817035;5.563654879494043e-05;0.0;0.0;0.0;0.0009029437432518981
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012184655267675112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007587810812557526;0.0025341738180667825;5.369235093367626e-05;0.0;0.0;0.002424978549874382;0.0;0.0003933333244561966;0.0;0.0;0.004973546406480211;0.0;0.0;0.00044353818677251065
63;achète;0.0027147828671013224;0.0;0.0;0.0;0.0;0.01104984933732961;0.0;0.0;0.010760149092703316;0.0;0.0005129177874642156;0.0;0.0;0.0;0.0;0.09249344047030342;0.0;0.0012788522856583154;0.008906818128672727;0.03351580995761831;0.0;0.0;0.057929186592886914;0.006469983812297827
64;achèterai;0.0;0.0023833074725128074;0.000944320687564461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002342673410643076;0.0;0.0;0.0018701571830356367;0.013746256831734851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;achété;0.0;0.00663349389512035;0.0;0.0;0.0031357394347942755;0.006904650174416957;0.0;0.0;0.0;0.0;0.0003887383440609597;0.0;0.0;0.0;0.0;0.007122733877395406;0.0;0.0;0.0;0.0;0.0;0.0;0.0007561228689896541;0.0
66;acidité;0.0;0.0;0.0;0.0030459530174018214;0.0;0.0;0.0;0.0;0.0;0.0;0.00031614717006805374;0.0;0.0;0.0;0.0008727598752212779;0.0;0.0;0.0;0.0011427462062310674;0.0;0.0;0.0;0.0;0.0005870897768792762
67;acné;0.0;0.0;0.0;0.014274439028899858;0.0;0.0;0.0;0.0;0.0;0.009074219428282489;0.0;0.0;0.0;4.736791794144933e-05;0.0;0.007025845226090513;0.0;0.0;0.0;0.013350777029153976;0.0002575439271842495;0.0;0.0;0.0023966581709904075
68;acnéique;0.0;0.0010815340495652517;0.0;0.003873007860413967;0.0;0.0;0.0;0.0;0.001780389539144528;0.0;0.0;0.0;0.0;0.0;0.0005537389487764549;1.0773024233119172e-05;0.0;0.0;0.0002529632201758;0.0002150320659420609;0.0;0.0;0.0;0.004731595309515084
69;acnés;0.0;0.0;0.0;0.00010127691953261177;0.0;0.0;0.0;0.0;0.0;0.0;0.0004025578061293001;0.0;0.0;1.5044505424105235e-06;0.000285285984242731;0.0005514553668116834;0.0;0.0;0.0;1.765555696787694e-05;0.0;0.0;8.30228008493027e-05;0.0012023866606363587
70;acquiert;0.0;0.0028691431310122178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005621058181287761;0.0;0.0;0.0;0.0008931942967984821;0.0;0.0010126096860612233;0.0;0.0;0.0
71;acquis;0.0008932186806095729;0.005800596199449154;0.0;4.9198592924460525e-05;0.0;0.0;0.0;0.0;1.6461793156700146e-05;0.0;0.0006998981805477803;0.0;0.0;0.0;0.0;0.00039505871050004156;0.0;0.0001655493583033558;0.0;0.0;0.0;2.59907619197503e-05;0.0;0.0
72;acquérir;0.0;0.0;0.0;0.0;2.751528730270917e-06;7.289042111520942e-05;0.0;0.0;0.0;0.0;3.9748499937079995e-05;0.00013451406708049688;0.0;0.0;0.0;0.0017254088936948654;0.0;0.00044939265225540215;0.0;0.00019036707838574499;0.0;0.0;2.678453266697123e-05;0.0
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011780941760818859;0.0;0.0;0.0020843314319629316;0.0;0.0;0.0;0.0005206497882046934;0.0;0.0;0.0;0.0;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00047331528719543614;0.024667957748994128;0.0;0.0;0.0;0.0
75;actuellement;0.0;0.0029618229923155047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015584105311557904;0.0;0.0;0.0;0.0;0.009852927108530906;0.0;0.0;0.0;0.0;0.0
76;adapte;0.0;0.0;0.0;0.015624419300267823;0.0;0.0;0.0;0.0;0.007351732481694378;0.0;0.009081393033017955;0.003201438684700757;0.0;0.0;0.00020303673268457496;0.014476648678081384;0.0;0.0010034044777905806;0.0015740094954093786;0.007566408259139822;0.00040067665949635763;0.0;0.00023591835167926568;0.010946493718170979
77;adaptent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008965796546605367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014843792733076708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;adapter;0.0;0.0035134161924955283;0.0;0.026363487458272217;0.0;0.005323715222822886;0.007792323224404866;0.0;0.0;0.014806664214397754;0.013995295847291348;0.0;0.002167572240722518;0.01546365896060566;0.0019488659871376255;0.011834839049840524;0.0032610594924112465;0.016561793044831786;0.005591513451152315;0.0;0.0;0.016624475330450354;0.0;0.012589951721453359
79;adapté;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019242669763451642;0.0;0.0;0.009570595046812886;0.0114281287903618;0.0;0.0;0.0027580690090646767;0.0029580522144558026;0.0;0.0;0.0;0.0010685285007753936;0.0026739016663747672
80;adepte;0.005754374574746999;0.0;0.0;0.0028568498857933387;0.0;0.0;0.0;0.0;0.0;0.004128128614770421;0.0021545029155485233;0.0;0.0023269438973085943;0.005915414368929181;0.0;0.016366001891820952;0.0;0.0;0.010829148287921265;0.001075454331392449;0.0;0.0;0.0;0.025925354156858336
81;adeptes;0.0;0.0;0.0;0.004281775498008474;0.0;0.0;0.0;0.0;0.001903195003602365;0.0;0.0;0.0;0.0;0.0;0.0;0.002404668949402316;0.0;0.0;0.0;0.0;0.0005438228752518985;0.0;0.0;0.0007251958051454789
82;adhère;0.0;0.0025206710506676263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0037251583825750525;0.006743126485285031;0.0;0.0;0.0;0.0007647242274472906;0.00325699468877324;5.973661638330687e-05;0.0;0.00032896002584705377
83;adhérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010787470864921706;0.0;0.0;0.0;0.0;0.0
84;adhésion;0.0;0.0;0.0;0.002891159823736351;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0021158786271218383;0.0;0.0;0.0;0.000667084885882488;0.0;0.004044805808368043;0.007152341951102749;0.0023960783875098556
85;adict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032871491183835873;0.0;0.0;0.001065592458496763;0.0;0.0;0.0;0.0;0.00048717821569407095
86;adieu;0.0017673330441072587;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000147234082616654;0.0009521975515257607;8.934444734042947e-06;7.208628979361155e-05;0.0;0.0;0.00010593257513281164;0.0;0.0010193350809261127;0.001069920995338172;0.0007780881521033559;5.154009042983614e-05;0.0;0.0;0.0
87;adixion;0.0;0.0;0.0;0.0;0.0;0.0;4.7176491138343727e-07;0.0;7.09990920156716e-05;0.0;0.0;0.0;0.0;7.916068773822467e-05;0.0;0.0038323134388192296;3.984298109017586e-05;0.00040237451819495433;0.0;0.0;0.0;0.0006663076665832055;0.00012776837915232206;0.0
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.086048053017125e-05;0.0006570841011033354;3.767855990844879e-05;0.0;0.0009682841682014853;0.0;0.0;0.0;3.948551974811347e-05;0.00045689331743183027
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.183241564288535e-06;0.0;0.0;0.0;0.0;1.5953497189715852e-05;0.0;0.0;4.1687331572897525e-06;0.0;0.0;0.0;0.0;0.0
90;adobe;0.0;0.0;0.0003241257822882829;0.0;0.0;0.0;0.0;0.0007366364377582011;0.0;0.0;0.0;0.0;0.001405779674562642;0.0016937480743732594;0.0;0.0;0.0;0.0;0.0;0.001556499938365439;0.0;0.0;0.0;0.0
91;adolescence;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017409893865268065;0.0;0.0;0.0;0.0;0.0;0.0008889932399290056;0.0;0.0004940191368209896;0.00035962506933576583;0.0;0.0019366505403531015;0.0006419652929687369;0.0;0.00028493258149618367;0.0;0.0001715648079484544
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.873243593526987e-129
93;adooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017492041850899743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004219633221739148;0.0;0.0;0.0
94;adooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.873243593526987e-129
95;adooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8748913307142406e-07;0.0;0.0;8.57081661178257e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96;adoore;0.0;0.0;0.0;0.0;0.0;1.6607555180406386e-06;0.0;0.0;0.0;0.007260818375975911;0.0;0.0;0.0;0.0;0.0;0.0;0.00040467785424791935;0.0;0.0;0.0;0.00011835114673361021;0.001207570854725739;0.00019586147921155778;0.001598276089017791
97;adopte;0.0;0.0;0.0;0.0;0.0;0.0165563970819784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005170084265669836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;adopter;0.0023843909557668326;0.0;0.0;0.007368026126949788;0.0;0.0;0.0;0.0017162444784823954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013865213815977726;0.006426676045415072;0.0002500062331050192;0.0;0.0;0.0;0.0;0.0;0.0009768609484304344
99;adopté;0.0;0.007049234407145099;0.0;0.011516461860894039;0.0;0.0;0.003198264763300951;0.0;0.0005104774579746609;0.002484907189096287;0.0;0.0;0.0;0.0;0.0009502319224823727;0.00781235857167192;0.0;0.0001107570665713526;0.00047807733493330346;0.0;0.0;0.009363566265144212;0.0002626848695926456;0.014212031511700815
