;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
86;adieu;0.0017188128837213735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001262654386326975;0.0007237024040300282;1.6057328413600777e-05;0.0;0.0;0.0;0.0014581354915273257;0.0;0.0007600095341416924;0.0
87;adixion;0.0;0.0;0.0;0.0;0.0;0.0;7.2019552255958e-05;0.0;2.388542849196693e-05;0.0;0.0;0.0;1.987790420504037e-05;0.00017633412905819352;0.0;0.001922294449475401;0.00013496890221352168;0.0006394752360357798;0.0
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.072766438191774e-05;0.0013186067041805697;0.0;0.0;0.0
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3327740460993055e-06;0.0;0.0;0.0;0.0;1.1811436537033814e-05;0.0;0.0;0.0
90;adobe;0.0;0.0;0.00032062511232688304;0.0;0.0;0.0;0.0;0.0007687740645798998;0.0;0.0;0.0;0.0;0.0013064032176357094;0.0016038800538259667;0.0;0.0004146852326273455;0.0;0.0;0.0
91;adolescence;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017514482332045877;0.0;0.0;0.0;0.0;0.0;0.0008235713549455397;0.0;0.002050244758519442;0.0003286140464188024;0.0;0.0
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8424171215365194e-109
93;adooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015947906493420254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003491581509061793
94;adooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8424171215365194e-109
95;adooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.748565660386139e-07;0.0;0.0;2.0975530682574396e-06;0.0;0.0;0.0
96;adoore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007191890521386881;0.0;0.0;0.0;0.0;0.0;0.0011828210543749142;0.0003614740291881612;0.0;0.0
97;adopte;0.0;0.0;0.0;0.0;0.0;0.016435923817133925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;adopter;0.002389037305586216;0.0;0.0;0.006713556269787264;0.0;0.0;0.0;0.0018381344096111347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005143341359621144;0.006359550764908075;0.0012116845026289098;0.0
99;adopté;0.0;0.007133435849136604;0.0;0.012660515321968215;0.0;0.0;0.003167340988202046;0.0;0.0002661429735716063;0.002419142974771061;0.0;0.0;0.0;0.0;0.0012475883302535671;0.011552600735408505;0.0;0.00012933495777894813;0.0
100;adoreeeeeee;0.0;0.0;0.0;0.0;0.0;0.0;1.1062790296926995e-06;1.0996099195219155e-05;2.7694370776769746e-05;5.8317069410924454e-05;0.0;0.00012231879358823414;1.5592329574383263e-05;6.901597052558949e-05;0.0;8.481839134191576e-05;0.0;0.0;2.872539683198646e-05
101;adorent;0.0;0.0;0.0;0.00964860552793078;0.0;0.0;0.0;0.013696618513834583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031245792344546924;0.005476904168946671
102;adorrrrrrrreeee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8424171215365194e-109
103;adoré;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014850341035657043;0.0;0.0;0.0;0.0;0.0
104;ados;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026306817204351245;0.0;0.0;0.0
105;adouci;0.0;0.0;0.00866299623290983;0.013372906827483879;0.0;0.0;0.0;0.0;0.0;0.0;0.0037058569048800953;0.0;0.0;0.0;0.0;0.0;0.022942096368943368;0.0;0.0
106;adoucir;0.0;0.0;0.0;0.0;0.0;0.007591559146617687;0.0;0.0;0.0;0.00609416608796931;0.006716161127275266;0.0;0.0;0.0;0.0;0.005253037041974827;0.0;0.0;0.0
107;adoucissent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006138237388091164;0.0;0.000591054306316091;0.0;0.0;1.499514032592023e-05
108;adoucit;0.0;0.0;0.0;0.03415564473775138;0.0;0.0;0.0;0.0;0.0;0.0;0.014701783160968339;0.0;0.0;0.0;0.00905867403713495;0.0;0.0;0.0;0.0
109;adpater;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010961795527983547;0.0;0.0019930697721780443;0.0;0.0;0.0
110;adresse;0.0;0.0;0.0;0.0;0.0;0.005953186807063887;0.0;0.0;0.0;0.0;0.0;0.0;2.802242211273477e-05;0.0;0.0;0.0;0.0;0.00017395367211394373;0.0
111;adresser;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005727250149680127;0.0;0.0;0.0;0.00027058712428294367;0.0;0.0;0.004026327544085164;0.0;0.0;0.0
112;adulte;0.0014960317404758144;0.0;0.0;1.9712827133396972e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.001235647584568582;0.0;0.0;0.0;0.0;0.0;0.0;0.00040879968224418226;0.007855977279100512
113;advers;0.0;0.0;0.0;0.0;0.0;0.0;1.8671168005354618e-05;0.0;0.0;4.699129246801103e-05;4.690066716052172e-05;0.0;1.492416577852059e-06;0.0;0.0;0.00021920503655432918;0.0;0.00027747556819943505;0.00017264893557716152
114;adéquat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017395967991741586;0.00013657175319894933;0.0;0.0;0.0006601377420206129;0.000619190957469484;0.0;0.000532592474589707;0.00016995853590958188
115;affaire;0.0;0.0;0.0;0.019169318917869906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000415884646874214;0.0;0.005924438040685254;2.2231672315062263e-05
116;affecter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004280240955706262;0.0;0.0;0.0;0.0;0.0;0.0;3.648194262201254e-05;0.0;0.0009363606899525719;0.0
117;affine;0.0;0.0;0.0;0.0;0.0;9.439060489246683e-05;0.0;0.0;4.165352099954761e-05;8.35377266073798e-06;0.0;0.0;0.0;4.522440555793302e-05;2.3546605963103e-05;9.453350567276852e-05;0.0;7.611347430582132e-05;0.00015619019097462287
118;affiner;0.0;0.0;0.0;0.014476387351627209;0.0;0.0;0.0;0.004185571940201858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;affoler;0.0;0.003025690119204003;0.0;0.0;0.0;0.0;0.0019334694400433045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008269800654065034;0.001135471764051698
120;affreux;0.0;0.0;0.0002672626425277397;0.0;0.0;0.0;0.0;0.0;0.00016092016724989064;0.0;0.00016337576854213046;0.0;0.0;0.0009701363189453247;0.001186170010139781;0.0004602447864710654;0.0001648944498847038;0.0;0.0
121;affronter;0.0;0.0;0.0003273668408436484;0.001042223619663751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011764663692838174;0.0;0.0;0.001372007253394382;0.0;0.00023915868745399236;0.0
122;africain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006387560529957212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026399931398517325;0.0;0.01190668834623927
123;afro;0.0;0.0;0.0;0.0005235297169812407;3.8973036202990395e-05;0.0;0.0;0.0;0.0;5.9884720334590585e-05;0.00015654653247010094;0.0;0.0;5.929776381240368e-05;0.0;0.0014665532775032122;0.0;8.932341906747054e-05;9.383403342232992e-06
124;after;0.0;0.0;0.0;0.002303776224060655;0.0;0.0;0.0;0.0;6.171572434441695e-06;0.0;0.0;3.992653111879558e-06;0.0012195456970617385;4.227662530066132e-05;0.0;0.0003557947349157974;0.0;0.0;0.0
125;aftershave;0.0;0.0;0.007341856366955857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
