;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
58;acheter;0.0;0.0;0.0;0.0;0.0034081880829138402;0.0031625995220154694;0.0;0.01431860378925382;0.005244524314836497;0.004552950227728631;0.0;0.0;0.0;0.0;0.008246586369009701;0.0;0.0;0.01654835385188459;0.02068143104708223;0.0048380999129524855;0.0;0.0;0.0;0.0;0.5981864975234847;0.01839824517896504
59;acheteur;0.0;0.0023136182603477854;0.0;0.0;0.0;0.0;0.0;0.0;0.0002531222410760277;0.0;0.0;0.007298597248842636;0.0;0.0;0.0;0.0;0.0;0.0007691328070306959;0.0;0.0011086926731954838;0.0;7.478832661028663e-05;0.0;0.0;0.0017629918921540874;0.0
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009800555797941995;0.0;0.000644794562690699;0.00028948248976984196;0.0;0.0028534646789996547;3.51049697844316e-05;0.0;0.0;0.0007880742716267543;0.0;0.0007167796608619512;0.0
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013132161810694843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000871173721465388;0.0025702063816971333;8.293438400829619e-05;0.0;0.0;0.00016420553135318387;0.0;0.0005190616200553332;0.00013726924846073078;0.0;0.005226236385616543;0.0;0.0004518885804761456;0.0;0.0013270962710794489;0.0
63;achète;0.0027520742817442045;0.0;0.0;0.0;0.0;0.011541537811587458;0.0;0.0;0.010495356298347485;0.0;0.000298008417852711;0.0;0.0;0.0;0.0;0.07534816772660062;0.0;0.0019209498753995893;0.012020874436670903;0.03521861272988804;0.0;0.0;0.0034121056468142427;0.001134320920391003;0.041690835999924444;0.07161677083942941
64;achèterai;0.0;0.0023425698002729127;0.0009657433600095347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024318497825964397;0.0;0.0;0.0019248097499721922;0.016094784380010038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034200497507930858;0.0
65;achété;0.0;0.006655135189394808;0.0;0.0;0.0;0.006764219696015189;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01261168539705878;0.007188399391331398;0.0003161123514385148
66;acidité;0.0;0.0;0.0;0.0030912367013301956;0.0;0.0;0.0;0.0;0.0;0.0;0.0004235136070448196;0.0;0.0;0.0;0.0009003580064248145;0.0008874974840093831;0.0;0.0;0.0013496796382860572;0.0;0.0;0.0;6.770887733701668e-05;0.0;0.0;0.0
67;acné;0.0;0.0;0.0;0.014123030790557439;0.0;0.0;0.0;0.0;0.0;0.009132765507447588;0.0;0.0;0.0;5.924796489443207e-05;0.0;0.014765110485929402;0.0;0.0;0.0;0.014120328541347612;0.00022859444219985436;0.0;0.0017295902176980508;0.0;0.0;0.0
68;acnéique;0.0;0.0009047972843687122;0.0;0.003995074593014398;0.0;0.0;0.0;0.0;0.0017383130009789541;0.0;0.0;0.0;0.0;0.0;0.0006026841192592808;0.0024891174740249247;0.0;0.0;0.0003501252094887551;0.00022483520595946208;0.0;0.0;0.0034044774147340066;0.0;0.0;6.295800944004913e-05
69;acnés;0.0;0.0;0.0;5.828943597375668e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.00048709788341119725;0.0;0.0;0.0;0.00028128958085665655;0.0021150484760424633;0.0;0.0;0.0;1.9532519060402355e-05;0.0;0.0;0.000731765378734266;0.0;0.0;0.00015092640484513713
70;acquiert;0.0;0.002840046896270731;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005699957459276651;0.0007382669882191785;0.0;0.0;0.0010770271825080269;0.0;0.0009932080378928486;0.0;0.0;0.0;0.0;0.0
71;acquis;0.0008905929734442482;0.0058486444698661565;0.0;2.785991664344071e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0007246920615802115;0.0;0.0;0.0;0.0;0.000542813118228759;0.0;0.00015773143365956907;0.0;0.0;0.0;1.77027797749843e-05;0.0;0.0;0.000278530895185689;0.0
72;acquérir;0.0;0.0;0.0;0.0;6.55242292835219e-05;4.107111676836765e-05;0.0;0.0;0.0;0.0;0.0;9.216208894936556e-05;0.0;0.0;0.0;0.0;0.0;0.00041534049958083643;0.0;0.00011044720247413713;0.0;0.0;0.0;0.0;0.0018108387437353575;0.0
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011917266367613753;0.0;0.0;0.002130138906448663;0.0;0.0;0.0;0.0005938503925278492;0.0;2.1292655257728734e-06;0.0;0.0;0.0;0.0;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000718910572394949;0.025963717974654493;0.0;0.0;0.0;0.0;0.0;0.0
75;actuellement;0.0;0.002999462471620396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016990378611836176;0.0;0.0;0.0;0.0;0.011109237377332364;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;adapte;0.0;0.0;0.0;0.015343608841894823;0.0;0.0;0.0;0.0;0.007420408688630495;0.0;0.010842331073828001;0.003279948317662069;0.0;0.0;0.0002807467634002487;0.034165164807028955;0.0;0.0013146819212669222;0.0024410459507305687;0.00806927846642075;3.918319091635734e-05;0.0;0.003356820231018121;0.00030403102034335186;0.0007160568467927568;0.0009139799409957038
77;adaptent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008910052249243692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03297498268961668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;adapter;0.0;0.002930024735649769;0.0;0.026731238896618097;0.0;0.00530627764928993;0.007914074834458412;0.0;0.0;0.014717470431274405;0.015532791014015501;0.0;0.0020638303487078755;0.01652177785318759;0.0020124613573396792;0.016723179076124327;0.0032570361880722002;0.019981647753689307;0.006409843561751089;0.0;0.0;0.015473513964098023;0.007500740226153273;0.0;0.007165239621319831;0.0
79;adapté;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005767676211218508;0.0;0.0;0.01033387805530699;0.011783401539108885;0.003136422424410023;0.0;0.0033168029814849976;0.0033281968587739515;0.0;0.0;0.0;0.00037085984512558396;0.0;0.0;0.0013132256116169317
80;adepte;0.00570703012355198;0.0;0.0;0.0036682882140069246;0.0;0.0;0.0;0.0;0.0;0.004040582284340995;0.002313605664257218;0.0;0.0024081366284869287;0.006409607965317205;0.0;0.0054655634323659665;0.0;0.0;0.012517825333818292;0.0010636074087425928;0.0;0.0;0.022187471732910823;0.0;0.012637208277546485;0.0
81;adeptes;0.0;0.0;0.0;0.004178448590317814;0.0;0.0;0.0;0.0;0.0019030405970565669;0.0;3.850934128980115e-05;0.0;0.0;0.0;0.0;0.006994420521925995;0.0;0.0;0.0;0.0;0.000394626631430824;0.0;0.0;0.0;0.0;0.0
82;adhère;0.0;0.0026133442866529072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0037234259754462496;0.0;0.0;0.0;0.0;0.0006408292205468537;0.0034744987853793634;0.0;0.0007195763621755594;0.0002527480762028743;0.006394280820764221;0.0
83;adhérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01213367874479427;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;adhésion;0.0;0.0;0.0;0.002991799091853381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031643251882948857;0.0;0.0;0.0;0.0006003444769559364;0.0;0.0037732124209218444;0.0006818785068507628;0.0;0.0016755595086589828;0.00877143497808234
85;adict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005566135659079542;0.0;0.0;0.0014797437622176735;0.0;0.0;0.0;0.00034521304072403263;0.0;0.0;0.0
86;adieu;0.0017641190016866163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001367801149807451;0.0010144651648661687;0.0;5.533503887000017e-05;0.0;0.0;0.0;0.0;0.0011968807796315;0.0012707658595039993;0.0007716614836550682;4.2614880922915955e-05;0.0;0.0;0.0;0.0002840770318684431;0.0
87;adixion;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9171627183231452e-05;0.0;0.0;0.0;3.0949182978246756e-05;6.275933538181578e-05;0.0;0.0;2.2662083260982362e-05;0.00040718116180840956;0.0;0.0;0.0;0.0006184237360018083;5.963174718049205e-05;0.0;0.0030772651258056437;9.915790441853364e-05
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.155486806418046e-05;0.0011570029635841442;4.914657031137807e-05;0.0;0.001290338209364823;0.0;0.0;0.0;0.00036301277554736896;0.0;0.0;9.532197295016196e-05
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6234703222919555e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3548063664708847e-06;0.0;0.0;0.0;0.0;0.0;1.848993055180791e-05;0.0
90;adobe;0.0;0.0;0.00032340681666361774;0.0;0.0;0.0;0.0;0.0007317500234083399;0.0;0.0;0.0;0.0;0.001425896571509156;0.0018508831236390248;0.0;0.0;0.0;0.0;0.0;0.0016394149389534311;0.0;0.0;0.0;0.0;0.0;0.0
91;adolescence;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001729332224856509;0.0;0.0;0.0;0.0;0.0;0.0009551978675795201;0.0;0.0002896004682360397;0.0003615703914360842;0.0;0.0022831631614633075;0.000658662040687115;0.0;0.0002534647172007336;0.00016379236914144398;0.0;0.0002544825529405774;0.0
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.591362664949576e-89
