;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011791433733399824;0.0;0.0;0.0
52;achat;0.0;0.014569037853176434;0.030595788382117448;0.005154099306086984;0.06915718627454125;0.017027764334248043;0.0;0.18751807663115092;0.015525344830961962;0.0;0.0009020878865466661;0.0;0.05287300907595346;0.0;0.00866082333389442;0.005955763787767732;0.0;0.013449793113607686;0.024952914247217375;0.0;0.033695836219231355
53;achats;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020144810808196204;0.0;0.0;0.0;0.003573422339074106;0.0;0.0024447017397818656;0.0;0.0;0.0;0.0;0.0
54;ache;0.0;0.0;6.198084423518915e-05;0.0001562433797490257;0.0;0.0;0.0;0.0;0.0;0.0;0.00015147717026085626;0.0;7.391992438580498e-05;0.0;0.0;0.0;0.0005762362148732498;0.0002759539815225611;0.0;0.0;0.00011280689921285713
55;acheminement;0.0011823518058115988;0.0;0.0021322616240694262;0.0;0.0;0.0;0.0;0.0;0.0025165933591195246;0.0;0.0;0.003036743155334109;0.0;0.0;0.0;0.0;0.0;0.0;6.326777356493973e-05;0.0;0.0
56;achetais;0.0004225230733750933;0.0;0.004347238289073318;0.0061043256944473935;0.0;0.0;0.0;0.0;0.0;0.0;0.0015177473045815207;0.0033680215904484598;0.0;0.0;0.0;0.0;0.0;0.0015357700534028907;0.0;0.0;0.008809663843747475
57;achete;0.0;0.0;0.0;0.0;0.018313754363659417;0.0;0.0;0.0;0.0;0.0;0.005384933487691358;0.0;0.0;0.014280529173096933;0.0;0.0;0.0;0.0017267309184602864;0.0;0.0;0.00462261113176435
58;acheter;0.0;0.0023991803497829434;0.014937602498363525;0.0;0.008976615360787574;0.014775903177975502;0.008464621035234295;0.0;0.0;0.0;0.035644940235953354;0.003916490901148528;0.0;0.0;0.010476620180567995;0.0;0.0867212458719293;0.0;0.001669945518769821;0.007911483516736473;0.19687752865151795
59;acheteur;0.0;0.0;0.001402677778252167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00040472566312499815;0.003463420997837896;0.0;0.0;0.0;0.0;0.0;0.0;0.00722773638089248;0.0;0.001052645233046122
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0068885368337793
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010071998557876475;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.599139583661718e-05;0.0001925780945646808;0.0;0.0;0.0;0.0;0.0;0.0;0.001350821299417101;0.0013521032202465709;0.002627957725695886;0.0003212383466652373;0.0006248372284890083
63;achète;0.0023879658415424778;0.0;0.001847019702575452;0.0;0.0;0.0;0.008105104076169718;0.012061115214994395;0.0;0.0;0.02050773586727074;0.0020227955853599944;0.010840980049601025;0.0;0.0;0.0;0.0;0.0010049055918931742;0.0;0.0;0.06440790029537152
64;achèterai;0.0;0.0;0.0029552880005332127;0.0;0.0;0.0;0.0;0.0;0.0;0.0016753366645426415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002526720304436761;0.0018007307326307308;0.0021856925558671894
65;achété;0.0;0.0;0.005099660486692791;0.0;0.003147729213052333;0.0;0.0;0.006965785948549677;0.0;0.0;0.00013182239548115577;0.0;0.0;0.0;0.0;0.0;0.0;0.0007064940274526757;0.0;0.0;0.0
66;acidité;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003006750112187495;0.0;0.0004499236794105897;0.0;0.0009856491084023168;0.0001977637586866578
67;acné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011534599005974461;0.0;0.0;0.014181037814957526;0.014487456806690358;0.0;9.991464333611332e-05;0.0;0.0;0.0034756050909240995
68;acnéique;0.0;0.0;0.0007493056060686123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026238593342689572;0.0;0.0;0.0;0.0;0.00422966654056523;0.0;0.00038038976436840946;0.0;0.0008421329333980368;0.0006798045913792547
69;acnés;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2494511379791372e-05;0.0;0.0;0.0;0.0002614724041639748;0.0;0.0006498997324463569;0.0;0.00036036739114048903;0.0001810301646548285
70;acquiert;0.0;0.0;0.0018820177951478138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005299489468241847;0.00020666374750119223
71;acquis;0.001088077551610306;0.0;0.0038357083759620594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.247624538463515e-05;0.0;0.0;0.0;0.0;4.816207344013611e-05;0.0;0.0006088636598271354;0.0;0.0;0.0
72;acquérir;0.0;0.0;0.00011763302772545204;4.025852603983397e-07;6.590364287540393e-05;0.0;0.0;0.00010774951645851544;0.0;0.0;0.0;0.0;1.1992662470383942e-05;0.0;2.456667064099996e-05;0.0;7.365699590236398e-05;8.738125087019893e-05;0.00020174968516687943;0.0;0.000376051113261605
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015794687085135557;0.0;5.2654238931075873e-05;0.0018352510881950485;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00047655576696896065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007024116230025911
75;actuellement;0.0;0.0;0.001828045786416785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003866512338396865;0.008351973417423888
76;adapte;0.0;0.0;0.0;0.0038817907890110123;0.0;0.0;0.0015131269312621393;0.0;0.0;0.0;0.011914079977308;0.0;0.0;0.0;0.0;0.01569339267513379;0.0024178327414628026;0.010405911007138918;0.0033648538705538674;0.0016735282271757325;0.005386370474053126
77;adaptent;0.0;0.0;0.00013235637274482226;0.0;0.0;0.010244545971254447;7.677226856153468e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014961814710008515
78;adapter;0.0;0.015260571007050581;0.0026363227218791307;0.003968710063886928;0.0;0.0;0.0;0.001955513332020509;0.007838901705732506;0.0;0.0;0.0034599795839586004;0.0;0.0;0.0189893105336155;0.028328235956103974;0.009116498489710446;0.012404913739228599;0.0;0.002073559974007002;0.015785503119635915
79;adapté;0.0;0.0;0.0;0.003330798227218839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015293231691217165;0.0;0.011006789741962545;0.004789428504288079
80;adepte;0.006702216444040939;0.0;0.0;0.005194945141278789;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013527376285126932;0.005626872536199219;0.003837097152964899;0.0;0.005311396442896764;0.0;0.0;0.018996984611269776
81;adeptes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027757243047047747;0.0;0.0;0.0;0.0;0.004310438079293032;0.0011059377250315298;0.0002860018472840928;0.0;0.0;0.0
82;adhère;0.0;0.0;0.0021301886652779736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.906802726909639e-05;0.0;0.0;0.00019784848708065698;0.0;0.0;0.003977429568777115;0.00189239851750151
83;adhérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.830644745110615e-05;0.0;0.0;0.0;0.0002460744160877998;0.0019465140467948303
84;adhésion;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0041178834768109095;0.002083252492538135;0.00016747607493628803;0.0;1.5245992898848772e-05;0.0011701989676363702
85;adict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00236072552122918
86;adieu;0.002079005867439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010685416707780667;0.0;0.0;0.0005957469382052921;1.395867128608321e-05;0.0;0.0016873526618614463
87;adixion;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.903510556091952e-05;0.0;0.0;6.995780162479147e-05;0.0;6.894112300197852e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.002047815075987355
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032086929955872667
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.985283608405748e-06;0.0;0.0;7.717270734814002e-06
90;adobe;0.0;0.0009612077012259848;0.0;0.0;0.0;0.0009794094453761232;0.0;0.0;0.0;0.0005582655400468486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014623226935971624
91;adolescence;0.0;0.0;0.0;0.0;0.0;0.002211725072020464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002445580240490653
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5678958739391172e-85
93;adooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015139883534893813;0.0;0.0;0.0
94;adooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5678958739391172e-85
95;adooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.928630262380095e-07;0.0;0.0;0.0;0.0;0.0;0.0;1.8483350608657768e-06
96;adoore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00021471423299545801;0.0;0.011055281352753247;0.0003114320460471051;0.0;0.0;0.0;1.0675434462339452e-05;0.00019466109722451736
97;adopte;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016274177223371343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;adopter;0.0024853919815968637;0.0;0.0;0.0;0.0;0.001914812857358983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007322431799977637;0.0007592076363881041;0.0;0.0;0.0;0.008348861937211148
99;adopté;0.0;0.0;0.004902263730792026;0.0;0.0;0.0;0.0028461453848308833;0.0;0.0038030657687446443;0.0;0.0004579622504170863;0.0013094886122485402;0.003510819766205545;0.0;0.00372218646007665;0.012302665210516468;0.0;0.0;0.0;0.001436927505735657;0.005992108243962227
100;adore;0.0;0.0;0.0;0.0;0.0;0.0;2.753068054182874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;adoreeeeeee;0.0;0.0;0.0;8.350231084871094e-05;0.0;1.5099087054778693e-05;6.166149118674874e-05;0.0;2.1963644100296264e-06;0.0;3.5103600989845284e-05;0.0;0.0;0.0001935086903313627;8.084016281639125e-05;0.0;0.0;0.0;0.00011148232634132163;0.0;5.553384586046977e-05
102;adorent;0.0;0.0;0.0;0.0;0.0;0.018114485449576154;0.0006681959194602716;0.000101532711607396;0.0;0.0;0.0;0.009657155195244925;0.0;5.954838034395567e-05;0.0;0.006826415382049039;0.0;0.0;0.0;0.0;0.0008981554049594129
103;adorer;0.0016633316812838452;0.0;0.0011305709868285243;0.0;0.0;0.03564084330086524;0.015466882050594533;0.0;0.0;0.035757126934704495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00034542879096985667;0.0;0.0;0.010006724874596676
104;adorrrrrrrreeee;0.0;0.0;0.0;0.0;0.0;0.0;0.0005883444516464235;0.0005413072253251978;0.0;0.0;0.0003401732843320417;0.0;1.673327162142239e-06;8.748881634746734e-05;0.0;0.0;0.0;0.0;5.8597028146375475e-06;0.0;0.0004578726146153247
105;adoré;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005061564376733859
106;ados;0.0;0.0;0.0;0.0;0.0;0.0;2.416685604797059e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002914007774110492;0.0;0.0;0.0010049051473075693
107;adouci;0.0;0.011161432835365748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009360046940198137;0.0;0.0;0.0;0.0;0.0;0.013146251804237273;0.000639794037470138;0.0028334231664707173;0.0;0.0;0.001800251577966054
108;adoucir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0072010759451731484;0.0;0.0;0.0;0.0;0.0;0.0;0.008750888740376358;0.0;0.0;0.006122724928879592;0.0;0.0;0.004564573185623524
109;adoucissent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0033526529047824194
110;adoucit;0.0;0.003418172861634381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032767874722851933;0.0;0.012590545427458048;0.0;0.006703366116600905;0.0
111;adpater;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022656474146157935
112;adresse;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0058443951663270195;0.0;0.0;0.0;0.0;0.0;1.56678340880793e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;adresser;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000902297138151723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032624187821071087
114;adulte;0.0019085928502704944;0.0;0.0;0.0;0.0;0.0;8.19616834891928e-05;0.0;0.000300726152566178;0.0004849577122632103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022412434076946367;0.0;0.0007604333395661288;0.0
115;advers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0025692004285631253;0.0;0.0;0.0;0.0
116;adéquat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015624008755972502;0.0001542158192852479;0.0006665159722065545;0.0006640857642881808
117;affaire;0.0;0.0;0.0;0.0;0.00014867636737432203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019639966385003246;0.0;0.0;0.0;0.0;0.0008238417467532542
118;affecter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005919022279513498;0.0;0.0;0.0;0.0;0.0;0.002727249757101498;0.0;0.0;0.0;0.0
