;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;Tres nkn schampoing;0.0;0.0;0.0001624192308357952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5335745443158126e-05;3.759202722474112e-05;0.0;0.00011874722769309805;0.0;0.0003091216120772667;4.1635307174981005e-05;0.0001524490893760679
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00034276375728090026;4.208202773370323e-05;0.00015386920835257077;0.0007390851839111604;0.0;0.00011848770387760435;0.000720472461956379;0.0003761531087010328;0.0008733383818441133;0.0;0.0005879974458201365;0.0;0.0;2.693396018534066e-05;0.0;0.002848527442010568;0.0;0.00022266220052223262
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0001563775197161715;0.0;0.0;0.0020937902222299873;0.00042544955726869473;0.0006499297995746668;0.0006598709414478601;0.0;0.004022035026625808;0.06482346118975126;0.007720228282248368;0.005535979906453899;0.003479955838298468;0.0005168774438895993;0.05656302643144142;0.048645632044552446;0.0;0.007903234243368697
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0010010685269248698;5.166620889550936e-05;0.05041959123617708;0.0052825668728961744;0.0;0.0005594668809359271;0.002682156362286461;0.05450315106066794;0.003525127629000052;0.0031074108118595693;0.000384191037703864;0.0013597522586508148;0.0021675338035997524;0.021173052795666586;0.0;0.016269261662500055;0.007099663638406587;0.001134944832704054
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05573241960845073;0.0;0.05600455446207306;0.0;0.0;0.0;0.0;0.005076043972064983;0.06773206196193077;0.0034783747004022997;0.0;0.01646126157558405;0.021760791796824563;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00013587534739892002;0.0;0.0010974061621848448;0.0;0.0;0.0010864940358350692;0.002355534389238322;0.0;0.0;0.0006246373132362956;0.0;0.0;0.00043012071568112914;0.003226493763648446;0.0;0.02365948746297225;0.0007515091004945903;0.003328961458074605
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00028518687906619103;0.00014936960121620586;0.0;0.008738029702932972;0.00013767008388046608;0.00011818477555182314;0.0012585519155739059;0.0;0.0032929718564855223;0.0038518409851452952;0.0151941654424926;0.0;0.002221678046950299;0.0;0.003063920094667899;0.0006122103482035871;0.0046671050267985716;0.04229262551816078
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;2.020673285536289e-05;0.0;0.11538178920252842;0.0;0.0;0.0;0.0026150737119489207;0.0;0.0;0.0022831813161804165;0.0;0.0009643376734869793;0.0;0.014975554722565357;0.02805260954349436;0.06910431539384253;0.006372277731316247;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0002090257182513765;0.0;0.008160325378173313;0.014644705105627513;0.0;0.0005489861434331572;0.0;0.001024834944751965;0.0;0.0;0.0;0.0;0.0034141989613833326;0.0;0.0;0.0326635090851545;0.00232141784510332;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00017715437785207773;0.0;0.0;0.007570633642386442;0.0;1.9388882231438696e-05;0.0;0.0;0.0;0.0;0.003818931631901899;0.0;0.0006248876733751828;0.013819737405068273;0.0;0.00922939589439121;0.0;0.00039109128064045373
10;N'en reste pas moins une crème super agréable;0.0;0.00011796975998958221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00020240248517892456;0.0;0.0;0.0;0.0010903394283415845;0.0032697616375504156;0.000605318218205479;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.00022786610250169495;0.0007634864685613897;0.0018551580431601065;0.0;0.0;0.0;0.0;0.0003106184488534752;3.39691172801834e-05;0.0013357262896267629;0.0;0.0;0.0;0.0;0.0002729148056323036;0.011594966445108863;0.0008148112115807065;0.00025756428004069116
12;remplit sa fonction;0.00015246920146470675;6.283345736254423e-05;3.0476543559113302e-05;0.0010446335380944532;0.00025152913567526937;0.0;0.0;0.0008933852016476339;0.0004396076106100572;0.00040206369494532137;0.001284253391965215;0.0;0.0002679199628903875;0.0;0.0;0.0024550640089194336;0.0;0.0
13;Très bien pour le connaître depuis longtemps;0.0008925453214356416;0.0;0.0;0.0;0.001952017216150209;0.0010936749869068995;0.0;0.0;0.0023455867198178145;0.0;0.0;0.0;0.002882859737277458;0.0016554994225231254;0.0;0.021695328588869817;0.0;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003463895306808822;0.00026904122137241045;0.0;0.0008188564475654498;0.0007273885203416161;0.0005810881557999955;0.0004102786842102451;0.0001728157899672924;0.00015359473789907518;0.00020153424170078367;0.0017208409246665974;0.0;0.00014572090056812233;0.00673632830134796;0.0;0.008306218768304003;0.0029737079462943293;0.0047256290806327065
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0002194959489999746;0.00018458859650408613;0.0;0.00030387078583943734;5.336989676187229e-05;0.0001934739529945065;0.000801552858876852;0.0043308049812106645;0.0014300470028803952;0.002461995821134087;0.003756158779217956;0.0;0.0010399283337606414;0.0;0.05559753068507161;0.03184918566193838;0.0010536424613161962;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005606936984904304;0.0;0.00022809227435935877;0.0003180395033210186;0.0;0.0006448430793350821;0.0011128813019973594;0.0012023744703830179;0.0013164616409094122;0.0009078511069159469;0.0;0.0027529557110926328;0.0;0.003492135507386747;0.0;0.0020913875503229657;0.0;0.0016583821884353944
