;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
0;Tres nkn schampoing;0.0;0.0;0.00017252357363682205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.16793342861942e-05;2.9617960667154443e-05;0.0;7.46014980275523e-05;0.0;0.000131778924500114;3.735629924835388e-05;0.00033131672175253123;0.0;5.761653100049937e-06;0.0;1.094996639757629e-05;7.66934520489709e-05;0.0;3.7606938123023314e-05;0.0;3.5767450425729394e-05;0.0;0.0002638350794871129
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00033642587611194537;6.855682885456524e-05;0.00014507755498543054;0.000818154051201762;0.0;0.00016379606648045;0.0007106882999272559;0.000356821750380474;0.0008674244344311767;0.0;0.000509526711666664;0.0;0.0;0.0;0.0;0.00024288302066657763;0.0;0.0038134940382628245;0.0;0.0;0.0;0.0012253499220644677;0.0;0.00035604440605305427;0.0;0.0003810343293393826;0.0011244326122635778;0.0;0.0010383730014460176
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.00027290698915637986;0.0;0.0002490703854489478;0.0028172467502064432;0.0012751723772079086;0.0014121266184911575;0.0008911227749707175;0.0;0.004846882170832398;0.06434892798999128;0.005939431105063541;0.004500879532240487;0.0032093565524379045;0.0006292330802701882;0.04768095674765973;0.007382535610890065;0.0005538684301655088;0.08494679780470853;0.0;0.0;0.0;0.0;0.0010574844378810043;0.002819855380840017;0.0;0.01419710226811443;0.0004227027103220554;0.006088963495038697;0.001953238640314742
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0006926866877210906;0.00016098531969431734;0.04868084488311139;0.0;0.00021738087737753383;0.000581070621184482;0.002443848734715324;0.05628853879901425;0.0029621083260294966;0.0024561127907310296;0.0005888845946511186;0.0013089571080608386;0.0009881540310783898;0.015617200238649768;0.0;0.0005145826854389765;0.004162788228277141;0.00638156920300123;0.0;0.00229946468148903;0.0005753066284562675;0.07710614376698845;0.0010481406164961498;0.0;0.0017558678318225385;0.0;0.0;0.0;0.017793426435413456
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.051824244661500485;0.0;0.05463371105083135;0.0;0.0;0.0;0.0;0.0;0.06827950540834064;0.003080650126422129;0.0;0.013910559293670447;0.0;0.0;0.0;0.0;0.0;0.0;0.00747701485847214;0.0;0.06483835690632966;0.0;0.014971827044490607;0.0;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.00011068759685068779;0.0;0.0015110917074120523;0.0009307993861416837;0.0;0.0011638021819240156;0.0018437041662024219;0.0;0.00021339693266601948;0.0006784198154651684;0.0;0.0;0.0010431412835938008;0.0014510607798009561;0.0;0.0023725667458266014;0.0;0.005965749258443546;0.0019169192101011442;0.004435271677973746;0.00026097706698068594;0.0;0.0;0.0008285578084829374;0.0;0.0005465904308430794;0.0;0.0;0.05500973736232204
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00031878159117692775;5.7793488670577054e-05;0.0;0.007465102294229251;0.0015008389927961244;0.00018378055250160467;0.001279197477843252;0.00010508694706178266;0.002898900425807707;0.0036325518588777857;0.011457344764923801;0.0;0.0018633902544604236;0.0;0.002177441178994459;0.03654432578142893;0.004310284920785171;0.003912258824948153;0.0;0.0019485752821838866;0.0;0.008774081349709296;0.0;0.0;0.0;0.0006764333901755894;0.0027882450441296712;0.0007083091004887403;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.00022655521870573348;0.0;0.11470889096093424;0.002987227480180397;0.0;0.000809521892006139;0.0023363290540295806;0.0;0.0013237713214588362;0.0023984653718191005;0.0;0.0017766090959352146;0.0;0.01140368015887111;0.016483118674920777;0.0;0.005865683116148563;0.020889286693165664;0.0;0.0;0.2139015602514562;0.0016371388567904188;0.0;0.0;0.0024985079689706807;0.003371656895187173;0.0;0.020398682499369575;0.024743902389488426
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004527310011246454;0.0;0.0;0.0011765916725564496;0.0;0.0004634207999944681;0.0;0.0;0.0;0.0;0.0009657154515909818;0.0;0.0;0.0;0.0;0.0;0.0002827966586592055;0.0;0.0;0.16783988098568758;0.0;0.0;0.0;0.04166792168474996;0.0;0.0010047252892277424;0.0
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00020523598860964836;0.0;1.5747757536008826e-05;0.007027109090905484;0.0;0.00017122903922981128;1.483189988620267e-05;0.0;0.0;2.294284460506347e-05;0.003413650721694349;2.9870701042354452e-06;0.0006066033222639707;0.012126804807029929;0.0;0.0007170212171868396;0.0;0.006345413915571138;0.0;0.0;0.0010529153317961235;0.0031101119995911542;0.0;0.0006636031843186931;0.0;0.006741303330033407;0.002214443579285946;0.00016828134829395178;0.004658523144963207
