,product_id,brand,product_name,price,avg_mark,product_type,retailer_id
6867,P3329003,KAT VON D,Signature Brow - Crayon sourcils haute précision,19.99,3.725,crayonpoudresourcils,sephora_fr
6868,P3329002,KAT VON D,24-Hour Super Brow - Gel crémeux sourcils longue tenue,18.99,4.701298701,gelmascarasourcils,sephora_fr
6869,P3329004,KAT VON D,Pomade Brow Brush - Pinceau gel sourcils,17.99,4.6,pinceaupaupires,sephora_fr
6870,P3329005,KAT VON D,Powder Brow Brush - Pinceau poudre sourcils,17.99,4.8571428569999995,pinceaupaupires,sephora_fr
6871,P3329006,KAT VON D,I am Divine - Palette de fards à paupières,39,3.875,paletteyeux,sephora_fr
6872,P3329020,DIOR,Diorshow On Stage Liner,34,3.4444444439999997,eyeliner,sephora_fr
6873,P3329021,DIOR,Diorshow All-Day Brow,30,4.666666667,gelmascarasourcils,sephora_fr
6874,P3329022,DIOR,Diorskin Mineral Nude Bronze,43,3.571428571,poudredesoleil,sephora_fr
6875,P3329025,DIOR,Black Pump'N'Volume Waterproof,34,2.166666667,mascara,sephora_fr
6876,P3329024,DIOR,Diorshow Cooling Stick,29.95,3.4,fardpaupires,sephora_fr
6877,P3329034,LYSEDIA,Liftage - Masque Visage Sublimant Anti-âge,49,5.0,masquecrme,sephora_fr
6878,P3329036,LYSEDIA,Crème ActiBody - Lait Corps Raffermissant et Hydratant,32,4.0,eaudesoin,sephora_fr
6879,P3330002,TOO FACED,Primed and Peachy Primer - Base format voyage,18,4.0,basedeteintfixateur,sephora_fr
6880,P3330004,TOO FACED,Chocolate Soleil Bronzer - Poudre Bronzante,31,4.75,poudredesoleil,sephora_fr
6881,P3330003,TOO FACED,Peach Mist Setting Spray - Spray fixant format voyage,18,3.3030303030000003,basedeteintfixateur,sephora_fr
6882,P3330005,TOO FACED,Natural Face Palette - Palette pour le teint,47,4.5869565219999995,paletteteint,sephora_fr
6883,P3330006,TOO FACED,Natural Eyes Palette - Palette de fards à paupières,42,4.35483871,paletteyeux,sephora_fr
6884,P3330007,TOO FACED,Natural Matte Palette - Palette de fards à paupières,42,4.666666667,paletteyeux,sephora_fr
6885,P3330010,LANCÔME,Coffret Eau de parfum Trésor - Set Fête des Mères,95,5.0,coffretparfumfemme,sephora_fr
6886,P3330008,TOO FACED,Natural Nude Lipstick - Rouge à lèvres,25,3.875,rougelvres,sephora_fr
6887,P3330011,LANCÔME,Coffret Eau de toilette Ô - Set Fête des Mères,67,5.0,coffretparfumfemme,sephora_fr
6888,P3330012,LANCÔME,Mascara Cils Booster XL,33,4.0,mascara,sephora_fr
6889,P3330013,LANCÔME,Mascara Hypnôse,32,4.247747748,mascara,sephora_fr
6890,P3330014,LANCÔME,Mascara Hypnôse Waterproof,32,3.75,mascara,sephora_fr
6891,P3330015,LANCÔME,Mascara Hypnôse Extra Black,32,3.75,mascara,sephora_fr
6892,P3330017,LANCÔME,Prismatic Plump - INSTRATRENDS 2018,23.5,4.666666667,gloss,sephora_fr
6893,P3330016,LANCÔME,Mascara Hypnôse Hypnotic,32.5,5.0,mascara,sephora_fr
6894,P3330018,LANCÔME,Roll-on La Vie Est Belle - Eau de Parfum,25,5.0,eaudeparfum,sephora_fr
6895,P3330019,LANCÔME,Spray La Vie est Belle - Eau de Parfum,83,4.8888888889999995,eaudeparfum,sephora_fr
6896,P3330020,LANCÔME,Coffret Eau de Parfum La Nuit Trésor - Set Fête des Mères,86,4.333333333,coffretparfumfemme,sephora_fr
6897,P33309,GUERLAIN,Eau de Cologne du Coq - Le Flacon aux Abeilles Blanches,264,5.0,flaconsgants,sephora_fr
6898,P33303,GUERLAIN,Shalimar - Le Flacon aux Abeilles Blanches,290,4.5,flaconsgants,sephora_fr
6899,P3331003,DRYBAR,Southern Belle - Shampooing Amplificateur de Volume,26.5,5.0,shampoing,sephora_fr
6900,P3331011,GUERLAIN,Shalimar Souffle de Lumière - Eau de Parfum,97,3.375,eaudeparfum,sephora_fr
6901,P3331012,ESTÉE LAUDER,Pure Color Love - Baume à Lèvres Magique Coloré,26.5,4.333333333,baumelvres,sephora_fr
6902,P3331013,ESTÉE LAUDER,Pure Color Love - Rouge à lèvres liquide,26.5,5.0,gloss,sephora_fr
6903,P3331018,BY TERRY,Detoxilyn City Mask - Masque Visage,87,2.0,masquecrme,sephora_fr
6904,P3331019,BY TERRY,Twist-On Lip - Rouge à lèvres bicolore,32.5,3.0,rougelvres,sephora_fr
6905,P3331025,GRANADO,Calêndula - Crème pour les mains,8,5.0,soindesmains,sephora_fr
6906,P3307014,CLINIQUE,Coffret Clinique Smart - Une peau lisse et réparée,72,4.0,coffretsoinvisage,sephora_fr
6907,P3340034,DIOR BACKSTAGE,Foundation Brush N°11 - Pinceau Fond De Teint Fluide Couvrance Légère,35,2.0,pinceauxteint,sephora_fr
6908,P3340035,DIOR BACKSTAGE,Foundation Brush N°12 - Pinceau Fond De Teint Fluide Haute Couvrance,44,3.333333333,pinceauxteint,sephora_fr
6909,P3340037,DIOR BACKSTAGE,Dior Backstage Powder Brush N°14 - Pinceau Poudre,54,4.5,pinceauxteint,sephora_fr
6910,P3340038,DIOR BACKSTAGE,Dior Backstage Contour Brush N°15 - Pinceau Contouring,39,4.8571428569999995,pinceauxteint,sephora_fr
6911,P3340039,DIOR BACKSTAGE,Dior Backstage Blush Brush N°16 - Pinceau Blush,38,2.0,pinceauxteint,sephora_fr
6912,P3340041,LANOLIPS,Lano Lips 101 Ointment - Multi-Baume Noix de coco,13.99,3.25,soinhydratantnourrissant,sephora_fr
6913,P3340046,CLARINS,Addition Concentré Éclat Corps,42,4.166666667,autobronzantcorps,sephora_fr
6914,P3343004,TOPPIK,Fibres Capillaires Densifiantes,47.5,4.5,poudredensifiante,sephora_fr
6915,P3343007,TOPPIK,Fibre sourcil Toppik - Kit,20.9,1.0,kitsourcils,sephora_fr
6916,P3343013,CHANEL,LES BEIGES - Baume à Levres Belle Mine,38,5.0,chanel,sephora_fr
6917,P3345001,OPI,Collection Grease - Vernis à ongles,13.95,4.0,vernisongles,sephora_fr
6918,P3345002,OPI,Kit Collection Grease - Mini Kit vernis,20,5.0,vernisongles,sephora_fr
6919,P3345004,PATCHOLOGY,WINK & A KISS 5 MINUTE HYDROGELS - Coffret soin visage,11.99,4.0,coffretsoinvisage,sephora_fr
6920,P3345005,PATCHOLOGY,FlashPatch - Patchs Yeux Hydrogels 5 Minutes Format Voyage,11.99,3.6,contourdesyeux,sephora_fr
6921,P3345026,POLAAR,Gommage Tendre au Coton Arctique - Format Voyage,9.99,3.0,gommagepeelingvisage,sephora_fr
6922,P3345027,POLAAR,Masque Sur-Hydratant Ice Source - Format Voyage,9.99,5.0,masquecrme,sephora_fr
6923,P3345028,SISLEY,Hydra-Global Sérum,181,5.0,srum,sephora_fr
6924,P3345030,RAHUA,Leave-In Treatment - Traitement sans rinçage,45,3.333333333,soinsansrinage,sephora_fr
6925,P3345029,SISLEY,Phyto-Lip Delight,38,3.0,gloss,sephora_fr
