;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0;Tres nkn schampoing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017684664107475403;0.00029363795214440333;0.0;0.0;0.0;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.000581297549166646;0.003993878335036074;0.0017096278133482982;0.000560038470977082;0.0;0.003991027122597277;0.0;0.0012664445843442245;0.0005365733453538471;0.000527561154775184;0.0008026304173143589;0.0031278444112533533;0.0005838288744529135;0.0;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;2.4411912140893994e-06;0.0014632112798163965;0.0;0.0;0.0016150738022563365;0.0008098262274701933;0.0;0.0;0.00015358137298654092;7.586028184384318e-05;0.048777760392028476;0.0;0.0;0.00030378317368562243;0.05010148562240432
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0008971760926408526;7.340519376451454e-05;0.00035227449833052276;7.638182989127132e-06;0.0;0.04118579076064443;8.17860983775718e-05;0.0002938505046837827;0.0024366121580635947;0.040117025285137685;0.015050154161723471;0.0017597788019747245;0.0010897848034158882;0.00043273823311274867;0.0022481425159302315
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0003085967213862772;0.003113770316310384;0.0011339820299274426;0.0033441723765144198;0.002861893013292796;0.029794848603367747;0.0;0.054298810780961354;0.0;2.0576196733685567e-05;0.010811724628107056;3.100930515935877e-05;0.0011711261768913477;0.00011439458339263253;0.0008602000774952566
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0003424087081573712;0.0;0.0002968407251714022;0.0;0.00040899297980899105;0.00033910759800153897;0.0;0.0016442218252717964;0.0023900186375546964;0.002248923339176226;0.010961908002612734;0.0002386202003895258;0.0004521853473218155;0.001338380938437108;0.0007491647102465816
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00012774469375378616;0.060727935976663164;0.0;0.0;0.0034090809354447595;0.002593733818934151;0.0;0.00025907893106467283;0.0006901330822277008;0.0;0.012532309041222465;0.001732677206228756;0.0;0.0;0.0018331307353305242
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0;0.06976097530930804;0.0;0.0;0.0;0.0;0.0;0.0;0.0030461059808225433;0.08858506358602306;0.03564264083807681;0.0004413264230029276;0.0027343994442940883;0.0033526644873500236;0.0015886670483750696
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.00033744419514807755;0.003883633465407773;0.0;0.0028344085828861795;0.0;0.008916681562533987;0.002488603360497787;0.0030016277223050415;0.0;0.006963051652193909;0.008680012825558433;0.0015227912159931295;0.0003456003697344506;0.0;0.0003081486836210334
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00033299943402454406;0.0009810729299725364;0.0001310871868285691;0.0;0.0;0.003471840859846422;0.0;0.0;0.0001575844283101928;0.00015235525573149895;0.007136347200481331;2.6483735410992398e-05;0.0020626470790683815;0.00012482985965699936;0.00012271301503435507
10;N'en reste pas moins une crème super agréable;0.0;0.10691876496401873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0003157029321984387;0.0;0.0017441518688912016;0.0009466836110879288;0.0;0.0;0.0018979143588275106;0.00023299135135977972;0.0;0.001337293947880493;0.004319387264644621;0.0002195066683534783;0.0;0.0003869291326912481;0.0010487214101594674
12;remplit sa fonction;0.00017594902568193234;0.0;0.00017420176848316867;0.0003114400018461796;0.00023637411223075393;0.0013334304278235258;0.0;0.0;0.0;0.000144464753925837;0.001677480189671377;0.0;0.0;0.0;0.0003338424394207264
13;Très bien pour le connaître depuis longtemps;0.0006594907653833129;0.0004938548933380736;0.00012959147234223116;0.0;0.0018511621647006988;0.0;0.0;0.0062896558915680805;0.0;0.0;0.00965007727589136;0.0;0.001288049734290601;0.00453480015749513;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.001480126801212789;0.0;0.0005531092725580329;0.0;0.0007099187055155752;0.0006164112150403906;0.001969132244933029;0.042790863101888274;0.0015248247146663072;0.0;0.006346207260258055;0.0006734662916219845;5.907261356987303e-07;0.0014619520402935624;0.0005716183249886126
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.00010460680383109359;0.0008586798265791051;0.0015172552032946581;0.0;0.0006468072213435503;0.006122219740785548;0.0;0.0;0.0005899759444140257;0.0;0.02741984577797879;0.0;0.000569176371171761;0.0009816879250766726;0.0022869499110690006
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.00033203720957520076;0.0;0.0;0.0;0.0;0.000349573458144281;0.0;0.00011272965746692057;0.000906307212285033;0.0001253274780917649;0.0;0.0010574176790903358;0.09715781410245046;0.0;0.0004008335746062687
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.0;0.0002288152337970059;0.0;0.0;0.0;0.0;0.0009296287674759681;0.0033985661854193726;0.0;0.0001973547016851817;0.010748326209506089;0.0015484647336215034;0.0007738215112994425;0.0;0.0005788241634457577
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3130438956732565e-42
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007853519196825167;0.00027005968475173503;0.08073383895108284;0.0;0.001908865926297054;0.0;0.004685664936901611;0.002279612542981059;0.00032173609648265486;2.6880733382859182e-05;0.013229197086794828;0.005808623808759063;0.0053282658744223665;0.0016374949421803415;0.0016804388696716687
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.0;0.0012710259599254042;0.06289716263351236;0.0;0.0019439031379793695;0.00017273502466199134;0.0;0.0;0.0;0.0;0.03638468513390138;0.00040734433281884347;0.0;0.0;0.0
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.02921601573219852;0.07655660415884852;0.00016638583075262957;0.0;0.0;3.2432680170856395e-05;0.0;0.0024807012162576443;0.042114130877315;0.05968026822376777;0.0;0.003011195736694986;0.001688983187323573;0.0
23;Bonjour,;0.000628584126661291;0.0;0.0;0.0;0.0;0.0;0.001863205012852119;0.0;0.0;0.0;0.0037601698917647548;0.0;0.0;0.0;0.0
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.0001834661940474491;0.00018871878605548353;5.164373627942008e-05;0.00048183600369803176;0.00022857584731058407;0.0;0.0;0.0;0.0002914742613001786;0.00035173798418195476;0.007278676307631935;0.00020501632923728425;0.0;0.06211175756925031;0.00048529566024459273
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0001289704929409641;0.0;0.0002599633603033699;0.0;0.0;0.0010038887423697814;0.0030776438180839588;0.0;0.0;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.0005167795929932209;0.0015895811992084094;0.0002874669994940529;0.0011943464429735695;9.389976122527639e-05;0.005600174752022837;0.0026722214725371698;0.0013694982743437023;0.0;0.0009364744761896406;0.011230893772612579;0.0018948837305438305;0.0008348145886630934;0.0012243295044111198;0.0015628498187708125
28;super contente;0.0010213622527289162;0.0;0.0;0.0;0.0023679629751983612;0.0018853427901238805;0.00327186358728576;0.007102206158885163;0.0;0.006020592337821561;0.011316785826672681;0.0;0.0015060932997757726;0.0;0.0
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05488372794395347;0.00048775665885300356;0.0;0.0;0.003493698047645848;0.00032288223533557235;0.0025817396678569225;0.05341748050226403;0.0010226247838256506;0.0;0.014283565812318212;0.0006073229691965735;0.0;0.0010845017400442508;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;0.0;0.0;0.0;0.08062117694969541;0.0008109887544750574;0.0;0.0;0.07911539414617463;0.06980387990488639;0.0;0.0;0.1046713316115704;0.0013441732721061598;0.0;0.08353420609524266
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.04901072438208357;0.00677692579969553;0.00036137121250781135;0.002732288853916697;0.0;0.010168810282218887;0.0025815125685400516;0.001201012144105174;0.00043073812471138923;0.004084366935652409;0.004742996618536144;0.002081703152612622;6.055427355459397e-05;0.003153109562749652;8.257171380488002e-05
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00017198127808775566;0.001900947749420073;0.0;0.003437735164857074;0.0;0.0765119407231613;0.0008581522821266023;0.0009620240795784692;0.0005060223713601192;0.000573846128814971;0.0;0.0;0.0001087619279003075;0.0;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.045609346393192134;0.00022652941247128832;0.0007915239277402993;0.0;0.00026919727957134756;0.0;0.002363082763575163;0.03715248932955814;0.05963315251934863;0.002009081060506056;0.00958324885169705;0.0;0.0;0.0014043048860392447;0.000602579017585469
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.0;0.10105407552039096;0.07169989786681577;0.0013320045779233662;0.0;0.0;0.00022510269597622086;0.0;0.0;0.06192352302059695;0.0023096305840178606;0.0;0.0;0.0;0.0
35;Texture super agréable, j’adore !;0.0;0.13873993097243334;0.0;0.00048698485056436285;0.0;0.0;0.2308708312416159;0.0;0.0;0.010658965760716895;0.0;0.0031468629733303883;0.0;0.006321426556749733;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.06379227787140074;0.0;0.0013102180514924003;0.00023106343664069633;0.0009878282694786242;0.0004665800244724238;0.0007736698078664053;0.0050588841867552975;0.0004395838386194777;0.0;0.018440278067313878;0.0017657637219824732;0.0;0.002911542170657387;0.0
37;Très bon produit ... je l'utilise depuis 6 mois et j'en suis plus que satisfaite ....rapport qualité prix également...livraison plus que correcte;0.0;0.00011613590946289203;0.15982254368502427;0.004006820536961264;0.006762891330087575;7.921799310634207e-05;0.0;0.1115754962285297;0.0;0.0;0.00444737668618472;0.0;0.0035700900484659467;0.0004387600969592769;3.2833654239411936e-06
