;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
0;Tres nkn schampoing;0.0;0.0;0.00017312465879604726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.895906297673011e-05;2.7545606592380056e-05;0.0;7.929590883351229e-05;0.0;0.00012830723589287235;3.8668096745690794e-05;0.00032767387610557546;0.0;7.254985230566356e-07;0.0;7.146197731930474e-06;6.869196437724453e-05;0.0;0.0002667765036810333;0.0;2.6652659363653095e-05;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00033901335669458277;6.760552339868525e-05;0.00014908402759465194;0.0008252033740212925;0.0;0.00016965837970034546;0.0007140962412300247;0.00036038856498775814;0.0008707476829167242;0.0;0.0005072642244587774;0.0;0.0;0.0;0.0;0.00025658390807918856;0.0;0.003799155578871515;0.0;0.0;0.0;0.0012324631593779857;0.0;0.0003865852318328881;0.00030354568445050697;0.0003903424480618727;0.0011896501047080977;0.0
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0002503130805928485;0.0;0.00023837320579903905;0.0028356618905408166;0.0012880771460647357;0.0014008296359029936;0.0009027607532626945;0.0;0.004852559594110004;0.06435705246479415;0.0057966809590539545;0.004513652970460853;0.0032916915181417992;0.0006634741930183045;0.04823189793147218;0.007326801314157309;0.00034070241585153704;0.08489023263599257;0.0;0.0;0.0;0.0;0.0010216795702479387;0.0030001161830400264;0.00019924301310456018;0.014321782006697086;0.00034790992625073104;0.005773963910199593
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.0007070737105571789;0.0001055810730159374;0.048735242519565826;0.0;0.00023572017592879613;0.0006316358849770396;0.0025230274433986196;0.05619099069366567;0.002609934501417896;0.0024454543813489985;0.0005199776990141367;0.0012106523300977876;0.0010194477688985092;0.01643938916849177;0.0;0.0006376589365964586;0.004384580605531943;0.007228946249987535;0.0;0.002273208366354779;0.0007097281058295481;0.07700951477112168;0.000866852154699268;0.0;0.012669382294777126;0.00012249761486159323;0.0;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05205893591650861;0.0;0.05477921453582248;0.0;0.0;0.0;0.0;0.0;0.06832375451070659;0.00309602313061256;0.0;0.01408669004596221;0.0;0.0;0.0;0.0;0.0;0.0;0.007463997923866314;0.0;0.06823678959846112;0.0;0.015018268947385002;0.0;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0001673633088626287;0.0;0.0017443399859183096;0.0010425069100360941;0.0;0.0012759170359842474;0.0021038488469711267;0.0;0.0;0.0007267325946697441;0.0;0.0;0.0011465012003800486;0.0026819496573320246;0.0;0.002861611445294104;0.0007046974834419729;0.007521681736530306;0.001722394560467873;0.004048590719284572;0.0008197890189109435;0.0;0.0;0.0015831060179952849;0.03282668750335138;0.0016682608131642065;0.0;0.0
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0003082922084199394;5.2924746971836006e-05;0.0;0.007500303468042937;0.0015183820513772184;0.00018544428275734387;0.0012767609330127739;8.267518767151032e-05;0.0028332079823134237;0.003576440588883017;0.011523106948895514;0.0;0.0018651246914016362;0.0;0.0020503387375087473;0.03638211886579487;0.00416948639611182;0.0052361522437401236;0.0;0.0018799626670490154;0.0;0.008740928202469463;0.0;0.0;0.0;0.0004611234870421451;0.0028015816308044326;0.0006190632451998467
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0002455931984347313;0.0;0.11481804000242209;0.0030535994415242526;0.0;0.0009252595878746434;0.002480152024618359;0.0;0.0008843808561977907;0.002354176218001588;0.0;0.0016822515263474782;0.0;0.012414253864241068;0.016556244276822132;0.0;0.006213778208329404;0.022984688917159664;0.0;0.0;0.20763340135948377;0.0014511520169222811;0.0;0.0;0.015417308955136527;0.004167352820767433;0.0;0.01937193079122097
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0;0.0;0.004519155928604885;0.0;0.0;0.0011748324666348141;0.0;0.0004640094642911631;0.0;0.0;0.0;0.0;0.0009658621054501854;0.0;0.0;0.0;0.0;0.0;0.00031772762351560765;0.0;0.0;0.1678024338803562;0.0;0.0;0.0;0.041804636884836696;0.0;0.0009447943506998035
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00020610656735836372;0.0;2.6112451158985747e-05;0.007071654537140817;0.0;0.0001717163086025505;2.3130993954081832e-05;0.0;0.0;1.8053344905533948e-05;0.0035076284892330556;0.0;0.0006151282040010137;0.01227447749769785;0.0;0.0007239779320566255;0.0;0.0063532874266610355;0.0;0.0;0.0010457910765453496;0.0030826210612717587;0.0;0.0007299294224757012;0.0026877353117058613;0.006864818527299908;0.0025132146418167787;0.0001515785051893973
