;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;Tres nkn schampoing;0.0;0.0;0.0001706538835315697;0.0;0.0;0.0;0.0;0.0;2.5735800772524167e-05;0.0;4.934396057573788e-05;4.7628181126010544e-05;0.0;0.0002910516188723173;0.0;0.0003694061694240455
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00035845794155934835;0.00013019106737970125;0.00022590198824325443;0.0009252797925677277;0.0;0.00017642760483237274;0.000760359028343641;0.0004095269471562514;0.0011934254708527731;0.0;0.0012268117713738218;0.0;0.0;0.00035548740608805276;0.0007821284499062586;0.0009072081497097768
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0003080379102488938;0.0;2.9185261931314226e-05;0.002984402788959709;0.0008833418819621538;0.0016805843702812106;0.0009048523072182879;0.0;0.00793773005512605;0.06568787227677425;0.01336763044336972;0.0075276997592924845;0.004988407213331763;0.007935263905118329;0.07703371832977592;0.01500731132475763
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.00110785537264727;0.00019391454098357993;0.050704848351699666;0.00648694591153784;0.0;0.0002559893910462272;0.002762934277807194;0.053591945788409076;0.004072170451816493;0.003521260372855861;0.0;0.0014585953088031935;0.003505587827544335;0.035626154319269514;0.0;0.00226584497461972
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.05755265137454101;0.0;0.057380264148893564;0.0;0.0;0.0;0.0;0.018598999724602928;0.06838910343018391;0.00390891074705708;0.0;0.018145495846215925;0.0
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0004377628631824333;0.00015864408122951844;0.0017410366226728294;0.0011340462626088534;1.3113478834458608e-05;0.0015254883192992543;0.0026247098786203616;0.0;0.0009938577077121973;0.0012962283192841679;0.0016707007536379988;0.0;0.0023018740348548492;0.01233086254549574;0.0015525839834506713;0.014429743029443746
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00019722289031543275;0.0;0.0;0.008429446676727565;0.00026126400546226956;0.0;0.0010866873013405272;2.6558108790896924e-05;0.002703508301703269;0.0034790536881706474;0.015949199790111977;0.0;0.0016578515847972943;0.0;0.0;0.05081070536399344
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0001725288757937221;0.0;0.11712660763724311;0.0016634404447159238;0.0;0.0006088922161266909;0.003984317646798055;0.0;0.0023234325128099705;0.003050550884165553;0.0;0.0029797857111997905;0.0015562991451732726;0.03047006121155684;0.0718536895426826;0.009889486968222165
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0006398724709941128;0.0;0.009140350296873566;0.019275133749740242;0.0;0.0016736957219581064;0.0;0.0010507119591556516;0.0;0.0013590963544887727;0.0011429503684264092;0.0;0.007670874976946216;0.011124883191566971;0.007828779720797875;0.00034064790041875965
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.0001504790558195106;6.702628406863777e-05;9.147411874636926e-05;0.008028386578391073;0.0;2.4655223490342057e-05;4.106484503884525e-05;0.0;0.00018537943538446798;0.0003387072043044488;0.004002613737864929;0.000189733375677498;0.000890604781930422;0.012608449416031613;0.002201958270671364;0.0029722753947157765
10;N'en reste pas moins une crème super agréable;0.0;0.0002524384069713845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012103782333902763;0.0;0.0;0.0012038844023928722;0.001970287549240594;0.0002612321866680698
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0004064865836935223;0.0011595759332788135;0.00209607994004922;2.319072167833008e-05;0.0;3.771155211715528e-05;0.0;0.00033823365472297225;0.0006768537461088174;0.0017092195295397262;0.0004617969245802923;0.0;5.8867184686426e-05;0.004012782253231964;0.005379137577637069;0.0013560547786647516
12;remplit sa fonction;0.0001943429234069332;0.0001360063138392361;0.00010207394634583733;0.0012723201191509779;0.0002788363693522564;0.0;0.0;0.0009104577316139338;0.0005779125796697494;0.0004439161371610973;0.001956140517637884;0.0;0.00037916984623773765;0.0;0.0006850008386027802;0.0001865855974846245
13;Très bien pour le connaître depuis longtemps;0.0011932815956396138;0.0002606690549920388;0.0;0.0005771756733453728;0.0017671191382734055;0.002183558106324013;0.0;0.0;0.005663599599131825;0.0;0.0;0.0;0.005624673829726083;0.008794460327413425;0.0009542154332216698;0.011357471702457114
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.00034255373713847683;0.0004118854650864906;0.0;0.001132965646008203;0.0007106473187448766;0.0006316883110577615;0.00043048853694516496;0.00020188803623458757;6.079660008252692e-05;0.00017953099619252537;0.0022653864010966644;0.0;0.0005994083592397707;0.012907532855620737;0.0;0.009745558185379038
