,pos_tagged_coms
10,"[('Ravie', 'NPP'), ('de', 'P'), ('retrouver', 'VINF'), ('mon', 'DET'), ('mascara', 'NC'), ('préféré', 'VPP'), ('sur', 'P'), ('ce', 'DET'), ('site', 'NC'), ('et', 'CC'), ('à', 'P'), ('un', 'DET'), ('.', 'PUNC'), ('prix', 'NC'), ('vraiment', 'ADV'), ('abordable', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC')]"
11,"[('prix', 'NC'), ('compétitif', 'ADJ'), (',', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('facile', 'ADJ'), ('d', 'NC'), ('’', 'DET'), ('application', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('plus', 'ADV'), (""d'"", 'P'), ('un', 'DET'), ('moi', 'PRO'), ('de', 'P'), ('traitement', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('je', 'CLS'), ('l', 'V'), ('""', 'PUNC'), ('ai', 'V'), ('testé', 'VPP'), ('et', 'CC'), ('dès', 'P'), ('qu', 'ET'), (""'"", 'ET'), ('il', 'CLS'), ('est', 'V'), ('fini', 'VPP'), ('je', 'CLS'), ('repasse', 'V'), ('une', 'DET'), ('commande', 'NC'), ('.', 'PUNC'), ('Merci', 'N')]"
12,"[('Shampooing', 'NPP'), ('en', 'P'), ('format', 'NC'), ('salon', 'NC'), (',', 'PUNC'), ('dommage', 'NC'), ('que', 'CS'), ('la', 'DET'), ('pompe', 'NC'), ('ne', 'ADV'), ('soit', 'VS'), ('pas', 'ADV'), ('livrée', 'VPP'), ('avec', 'P'), (',', 'PUNC'), (""j'"", 'CLS'), ('ai', 'V'), ('du', 'P'), ('transvaser', 'VINF'), ('dans', 'P'), ('un', 'DET'), ('contenant', 'VPR'), ('plus', 'ADV'), ('petit', 'ADJ'), ('.', 'PUNC'), ('Il', 'CLS'), ('laisse', 'V'), ('une', 'DET'), ('odeur', 'NC'), ('agréable', 'ADJ'), ('sans', 'P'), ('être', 'VINF'), ('trop', 'ADV'), ('forte', 'ADJ'), ('ou', 'CC'), ('persistante', 'ADJ'), (',', 'PUNC'), ('mousse', 'ADJ'), ('bien', 'ADV'), ('et', 'C'), ('se', 'CLR'), ('rince', 'V'), ('facilement', 'ADV'), ('.', 'PUNC'), (""J'"", 'CLS'), ('utilise', 'V'), ('moins', 'ADV'), ('de', 'P'), ('quantité', 'NC'), ('qu', 'ADJ'), (""'"", 'ADJ'), ('avec', 'P'), ('un', 'DET'), ('shampooing', 'NC'), ('de', 'P'), ('grande', 'ADJ'), ('surface', 'N'), ('donc', 'ADV'), (""c'"", 'CLS'), ('est', 'V'), ('un', 'DET'), ('très', 'ADV'), ('bon', 'ADJ'), ('rapport', 'N'), ('qualité', 'N'), ('prix', 'N'), ('au', 'P'), ('final', 'N'), ('.', 'PUNC')]"
13,"[('Bonjour', 'I'), (',', 'PUNC'), ('assez', 'ADV'), ('déçue', 'ADJ'), ('.', 'PUNC'), ('Ce', 'CLS'), (""n'"", 'ADV'), ('était', 'V'), ('pas', 'ADV'), ('une', 'DET'), ('plume', 'NC'), ('fine', 'ADJ'), ('comme', 'P'), ('je', 'CLS'), ('l', 'V'), ('’', 'DET'), ('espérais', 'NC'), ('mais', 'CC'), ('un', 'DET'), ('feutre', 'NC'), ('.', 'PUNC'), ('Donc', 'NPP'), ('moins', 'ADV'), ('précis', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('par', 'P'), ('ailleurs', 'ADV'), (',', 'PUNC'), ('le', 'DET'), ('noir', 'NC'), ('est', 'V'), ('trop', 'ADV'), ('""', 'PUNC'), ('noyé', 'VPP'), ('""', 'PUNC'), (',', 'PUNC'), ('feutré', 'VPP'), (',', 'PUNC'), ('dilué', 'VPP'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('pas', 'ADV'), ('épais', 'ADJ'), ('et', 'CC'), ('de', 'P'), ('ce', 'DET'), ('beau', 'ADJ'), ('trait', 'NC'), ('""', 'PUNC'), ('black', 'ET'), ('""', 'PUNC'), ('qu', 'ET'), (""'"", 'ET'), ('on', 'CLS'), ('aime', 'V'), ('lorsqu', 'NC'), (""'"", 'ADJ'), ('on', 'CLS'), ('surligne', 'V'), ('et', 'CC'), ('prolonge', 'V'), ('nos', 'DET'), ('regards', 'NC'), ('.', 'PUNC'), ('Mais', 'CC'), (',', 'PUNC'), ('je', 'CLS'), ('pense', 'V'), ('que', 'CS'), (""d'"", 'DET'), ('autres', 'PRO'), ('utilisatrices', 'ADJ'), ('sauront', 'V'), ('l', 'DET'), ('’', 'NC'), ('apprécier', 'VINF'), ('.', 'PUNC')]"
14,"[('Bon', 'ADJ'), ('produit', 'NC'), (',', 'PUNC'), ('redonne', 'V'), ('douceur', 'N'), ('aux', 'P'), ('cheveux', 'NC'), ('mais', 'CC'), ('je', 'CLS'), ('le', 'CLO'), ('déconseille', 'V'), ('pour', 'P'), ('ceux', 'PRO'), ('qui', 'PROREL'), ('ont', 'V'), ('les', 'DET'), ('cheveux', 'NC'), ('gras', 'ADJ'), (',', 'PUNC'), ('il', 'CLS'), ('graisse', 'V'), ('pas', 'ADV'), ('mal', 'ADV'), ('le', 'DET'), ('cuir', 'NC'), ('chevelu', 'ADJ'), ('.', 'PUNC')]"
15,"[('super', 'NC'), ('contente', 'V')]"
16,"[('Je', 'CLS'), ('connaissait', 'V'), ('déjà', 'ADV'), ('le', 'DET'), ('produit', 'NC'), ('qui', 'PROREL'), ('est', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('.', 'PUNC'), ('Je', 'CLS'), (""l'"", 'CLO'), ('ai', 'V'), ('recommandé', 'VPP'), ('par', 'P'), ('erreur', 'NC'), ('et', 'CC'), ('renvoyé', 'VPP'), (',', 'PUNC'), (""j'"", 'CLS'), ('ai', 'V'), ('été', 'VPP'), ('rapidement', 'ADV'), ('remboursé', 'VPP')]"
17,"[('Excellent', 'ADJ'), ('produit', 'NC'), ('de', 'P'), ('qualité', 'NC'), ('professionnelle', 'ADJ'), ('.', 'PUNC'), ('Très', 'ADV'), ('satisfaite', 'ADJ'), ('de', 'P'), ('cet', 'DET'), ('achat', 'NC'), ('.', 'PUNC'), ('Vraiment', 'ADV'), ('efficace', 'ADJ'), ('et', 'CC'), ('adapté', 'ADJ'), ('à', 'P'), ('mes', 'DET'), ('bedoins', 'NC'), ('.', 'PUNC'), ('Parfait', 'ADJ'), ('.', 'PUNC'), ('A', 'P'), ('conseiller', 'NC'), ('.', 'PUNC')]"
18,"[('Produit', 'NC'), ('avec', 'P'), ('une', 'DET'), ('bonne', 'ADJ'), ('senteur', 'NC'), ('qui', 'PROREL'), ('hydrate', 'V'), ('et', 'CC'), ('illumine', 'V'), ('la', 'DET'), ('chevelure', 'NC'), ('instantanément', 'ADV'), ('et', 'CC'), ('reste', 'V'), ('léger', 'ADJ'), ('et', 'CC'), ('non', 'ADV'), ('gras', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), ('le', 'CLO'), ('recommande', 'V'), ('hautement', 'ADV'), ('.', 'PUNC')]"
19,"[('Effet', 'NC'), ('anti', 'ADJ'), ('âge', 'NC'), ('et', 'CC'), ('revitalisant', 'VPR'), ('sur', 'P'), ('une', 'DET'), ('peau', 'NC'), ('mature', 'ADJ'), ('hydrate', 'ADJ'), ('et', 'CC'), ('assoupli', 'VPP'), ('la', 'DET'), ('peau', 'NC')]"
